Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
AJ Smith-Shawver,21,2,Amateur Draft,0.050,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,smithaj01
Dylan Dodd,26,2,Amateur Draft,0.035,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,dodddy01
Allan Winans,28,2,Conditional Deal,0.025,Gaeta Sports Mana...,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,winanal01
Huascar Ynoa,26,4,Traded,3.011,Wasserman,1 yr/$825k (24),$825k,Arb,Arb,FA,,,,,,,ynoahu01
Jarred Kelenic,24,4,Traded,1.169,Wasserman,1 yr/$760k (24),$760k,Arb,Arb,Arb,Arb,FA,,,,,kelenja01
Dylan Lee,29,4,Free Agency,1.150,PSI Sports Manage...,1 yr/$760k (24),$760k,Arb,Arb,Arb,Arb,FA,,,,,leedy01
Zack Short,29,4,Purchased,1.086,,1 yr/$747k (24),$747.3k,Pre-Arb,Arb,Arb,Arb,FA,,,,,shortza01
Jesse Chavez,40,17,Free Agency,13.038,Apex Baseball,1 yr/$740k (24),$740k,FA,,,,,,,,,chaveje01
Angel Perdomo,30,3,,1.131,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,,perdoan01
Ray Kerr,29,3,Traded,0.109,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,kerrra01
Daysbel Hernández,27,2,Free Agency,0.071,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,hernada03
J.P. Martínez,28,2,Traded,0.052,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,martijp01
Darius Vines,26,2,Amateur Draft,0.031,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,vinesda01
Sandy León,35,12,,8.112,The MAS+ Agency,,FA,,,,,,,,,,leonsa01
Brian Anderson,31,8,Free Agency,6.031,CAA Sports,,FA,,,,,,,,,,anderbr06
Andrew Velazquez,29,6,,3.033,CAA Sports,,Arb (~$740k),,Arb,FA,,,,,,,velazan01
Eli White,30,5,Purchased,2.087,,,,,Arb,Arb,FA,,,,,,whiteel04
Jackson Stephens,30,5,Free Agency,2.021,Sosnick Cobbe & K...,,,,Arb,Arb,FA,,,,,,stephja01
Tommy Doyle,28,2,,0.057,Total Sports,,,,,Arb,Arb,Arb,FA,,,,doyleto01
,,,,,,,,,,,,,,,,,-9999
,Max Stassi traded to/from Chicago White Sox,Max Stassi traded to/from Chicago White Sox,Max Stassi traded to/from Chicago White Sox,Max Stassi traded to/from Chicago White Sox,Max Stassi traded to/from Chicago White Sox,Max Stassi traded to/from Chicago White Sox,$6.26M,,,,,,,,,,-9999
,Collin McHugh buyout,Collin McHugh buyout,Collin McHugh buyout,Collin McHugh buyout,Collin McHugh buyout,Collin McHugh buyout,$1M,,,,,,,,,,-9999
,Kirby Yates buyout,Kirby Yates buyout,Kirby Yates buyout,Kirby Yates buyout,Kirby Yates buyout,Kirby Yates buyout,$1.25M,,,,,,,,,,-9999
,Brad Hand buyout,Brad Hand buyout,Brad Hand buyout,Brad Hand buyout,Brad Hand buyout,Brad Hand buyout,$500k,,,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*46,15,9,5,5,3,2,1,1,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$281.8M,$191.2M,$146.8M,$104M,$91M,$59M,$34M,$27M,$22M,,-9999
,,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,7,6,4,1,2,1,1,1,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$57.8M,$49.5M,$40.5M,$17M,$37M,$20M,$15M,$20M,$20M,-9999
,,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-8-0,0-0-11-0,0-0-17-0,0-0-15-0,0-0-8-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$740k,$45.3M,$62.3M,$96.3M,$85M,$45.3M,$0,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,2,5,3,5,14,23,24,24,25,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$1.5M,$3.76M,$2.26M,$3.76M,$10.52M,$17.29M,$18.04M,$18.04M,$18.79M,-9999
,,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$238.1M,$212.8M,$202.6M,$179.8M,$114.9M,$51.3M,$45M,$40M,$18.79M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$290.6M,$257.8M,$240.1M,$196M,$150.4M,$70.5M,$59.3M,$59.3M,$38M,-9999
