xName,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Chase Shugart,27,6,0,0,8.2,1,0,1,0,0,1,,,0,0,0,1.04,0.17,,,0,0,,,0,P,shugach01
Lucas Sims,30,15,0,0,14,3,1,2,0,0,1,,,0,0,0,1.93,0.2,,,1,1,0.50,0.22,0,P,simslu01
Justin Slaten,26,44,0,0,55.1,4,2,2,0,0,1,,,0,0,0,0.65,0.09,,,2,0,0.00,0.22,0,P,slateju01
Dominic Smith,29,77,66,46,576.2,526,443,76,7,45,0.987,9,19,-2,-4,-1,8.1,6.18,,,0,0,,,0,1B-P-DH,smithdo02
Nick Sogard,26,31,23,15,205.1,91,32,58,1,10,0.989,1,5,1,6,0,3.94,2.57,,,,,,,,2B-3B-SS-1B,sogarni01
Trevor Story,31,26,26,24,227.2,94,32,61,1,13,0.989,2,9,2,11,0,3.68,3.58,,,,,,,,SS,storytr01
Naoyuki Uwasawa,30,2,0,0,4,1,1,0,0,0,1,,,0,0,0,2.25,0.5,,,0,0,,,0,P,uwasana01
Enmanuel Valdez,25,68,57,33,479.1,217,71,140,6,23,0.972,-3,-8,-5,-13,-1,3.96,2.89,,,,,,,,2B-3B-LF-DH,valdeen01
Greg Weissert,29,62,0,0,63.1,11,4,7,0,1,1,,,1,3,0,1.56,0.18,,,5,4,0.44,0.22,1,P,weissgr01
Jamie Westbrook,29,20,13,5,104,58,21,36,1,6,0.983,0,2,0,0,0,4.93,2.59,,,,,,,,2B-RF-3B-DH,westbja02
Garrett Whitlock,28,4,4,0,18.1,7,4,3,0,0,1,,,0,0,0,3.44,1.75,,,2,1,0.33,0.22,0,P,whitlga01
Josh Winckowski,26,40,6,0,76,15,9,6,0,1,1,,,-1,-3,0,1.78,0.38,,,4,0,0.00,0.22,0,P,winckjo01
Trey Wingenter,30,2,0,0,2.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,wingetr01
Connor Wong,28,116,106,92,964,928,873,49,6,8,0.994,-3,-3,-16,-20,-3,8.61,6.73,3,37,60,16,0.21,0.22,1,C-1B-2B-LF-DH,wongco01
Masataka Yoshida,30,1,98,0,1,0,0,0,0,0,,0,-396,0,0,0,0,0,,,,,,,,LF-DH,yoshima02
Infield Shifts,,,,,,,,,,,,,,17,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Team Totals,28,162,1458,974,13074,5922,4358,1449,115,117,0.981,28,3,49,,,4,2.55,8,49,99,27,0.21,0.22,10,,-9999
Rank in 15 AL teams,,,,,,,,,15,,15,,,,,,,,,,,,,,,,-9999
