Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
121,121,Aug 14,@,MIN,W4-1,40,36,4,11,2,0,2,4,4,0,6,0,0,0,0,1,2,1,.254,.311,.416,.727,9,10,R,L.Varland(46)
122,122,Aug 16,@,CIN,W7-1,40,37,7,13,4,0,2,7,1,1,9,0,2,0,0,0,0,0,.255,.311,.418,.729,6,10,R,N.Martinez(48)
123,123,Aug 17,@,CIN,W13-1,51,43,13,15,4,0,2,12,6,0,7,0,0,2,2,0,0,0,.256,.313,.420,.732,11,11,L,N.Lodolo(9)
124,124,Aug 18,@,CIN,W8-1,40,37,8,13,2,0,1,8,1,1,8,0,0,2,0,1,1,0,.256,.313,.420,.733,5,12,L,A.Abbott(42)
125,125,Aug 19,,LAA,W5-3,37,33,5,9,2,0,1,5,4,0,10,0,0,0,0,0,1,0,.256,.313,.420,.733,8,11,R,C.Fulmer(43)
126,126,Aug 20,,LAA,L5-9,38,36,5,11,3,0,0,5,2,0,5,0,0,0,1,3,0,0,.257,.313,.420,.733,6,11,L,T.Anderson(32)
127,127,Aug 21,,LAA,W3-0,33,30,3,8,3,0,1,3,3,1,4,0,0,0,0,2,1,0,.257,.314,.420,.734,6,10,R,J.Cueto(44)
128,128,Aug 23,,PHI,W7-4,39,36,7,12,3,0,2,7,3,0,4,0,0,0,0,0,1,0,.258,.314,.422,.736,8,11,R,T.Walker(20)
129,129,Aug 24,,PHI,L2-11,33,29,2,5,3,0,0,2,2,0,8,0,1,1,0,0,0,1,.257,.314,.421,.734,4,13,L,R.Suárez(60)
130,130,Aug 25,,PHI,L3-11,37,37,3,10,3,0,3,3,0,0,8,0,0,0,0,0,0,0,.257,.313,.422,.735,7,12,L,K.Allard(48)
131,131,Aug 26 (1),@,CLE,W4-3,36,34,4,6,2,0,2,4,2,0,6,0,0,0,1,0,1,0,.257,.313,.422,.735,5,10,R,N.Sandlin(53)
132,132,Aug 26 (2),@,CLE,W9-4,45,38,9,15,3,0,3,9,6,1,4,0,0,1,0,2,2,0,.258,.314,.424,.738,9,9,L,L.Allen(28)
133,133,Aug 27,@,CLE,W6-1,40,35,6,9,3,0,1,5,3,0,9,2,0,0,0,0,2,0,.258,.314,.425,.739,7,11,R,G.Williams(57)
134,134,Aug 28,@,CLE,L5-7,40,38,5,11,0,0,3,5,2,0,10,0,0,0,0,0,0,0,.258,.314,.425,.740,8,10,R,T.Bibee(35)
135,135,Aug 29,@,HOU,L3-6,33,31,3,4,1,0,0,3,2,0,7,0,0,0,2,1,1,1,.257,.313,.424,.737,3,12,R,H.Brown(68)
136,136,Aug 30,@,HOU,L2-3,33,29,2,2,0,0,1,2,3,0,9,1,0,0,1,1,1,0,.256,.313,.422,.735,4,12,L,F.Valdez(81)
137,137,Aug 31,@,HOU,L2-5,34,34,2,7,1,0,1,2,0,0,13,0,0,0,0,0,0,0,.256,.312,.421,.733,5,11,L,Y.Kikuchi(75)
138,138,Sep 1,@,HOU,L2-7,38,33,2,7,1,0,1,2,5,0,6,0,0,0,0,0,1,1,.255,.312,.421,.733,9,11,R,R.Blanco(60)
139,139,Sep 2,,CLE,L2-4,31,28,2,2,2,0,0,2,2,0,6,0,0,1,0,0,1,0,.254,.311,.419,.730,2,10,R,G.Williams(75)
140,140,Sep 3,,CLE,L1-7,36,30,1,4,1,0,0,1,3,0,8,2,0,1,0,0,0,0,.253,.310,.417,.728,8,10,R,T.Bibee(67)
141,141,Sep 4,,CLE,W4-1,35,34,4,10,3,0,1,4,1,0,11,0,0,0,0,0,0,0,.254,.310,.418,.728,7,12,R,B.Lively(34)
142,142,Sep 6,,MIN,W5-0,35,33,5,10,1,0,1,5,1,0,5,0,0,1,0,0,1,0,.254,.310,.418,.728,6,12,R,Z.Matthews(36)
143,143,Sep 7,,MIN,W4-2,31,29,4,6,0,0,0,3,0,0,8,2,0,0,0,0,0,0,.254,.310,.417,.727,3,10,R,B.Ober(82)
144,144,Sep 8,,MIN,W2-0,33,29,2,6,2,0,0,2,3,0,5,0,0,1,0,0,0,0,.253,.310,.416,.726,7,11,R,S.Woods Richardson(48)
145,145,Sep 9,@,NYY,L4-10,37,34,4,6,0,0,2,3,3,0,14,0,0,0,2,0,1,0,.253,.309,.415,.725,6,11,L,C.Rodón(58)
146,146,Sep 10,@,NYY,W5-0,38,34,5,11,0,0,1,5,2,0,8,0,0,1,0,1,3,1,.253,.310,.415,.725,6,13,R,M.Stroman(44)
147,147,Sep 11,@,NYY,L3-4,44,39,3,8,1,0,1,2,4,0,11,0,0,1,0,0,1,0,.253,.309,.414,.724,10,13,R,L.Gil(56)
148,148,Sep 13,@,PIT,W8-3,38,35,8,8,1,0,3,8,3,0,10,0,0,0,1,1,0,0,.253,.309,.415,.724,3,11,R,L.Ortiz(33)
149,149,Sep 14,@,PIT,W5-1,39,33,5,7,4,1,1,4,4,1,8,1,0,1,2,2,6,0,.253,.309,.416,.725,7,12,R,M.Keller(55)
150,150,Sep 15,@,PIT,L3-4,40,33,3,8,3,1,0,3,5,0,8,1,0,1,0,0,0,0,.252,.310,.415,.725,10,11,R,J.Jones(44)
151,151,Sep 16,,DET,L6-7,37,35,6,11,0,2,1,6,2,0,9,0,0,0,0,2,1,0,.253,.310,.416,.726,4,14,R,R.Olson(35)
152,152,Sep 17,,DET,L1-3,40,34,1,7,0,0,0,1,6,0,8,0,0,0,0,3,1,0,.253,.310,.415,.725,10,10,R,C.Mize(46)
153,153,Sep 18,,DET,L2-4,36,33,2,7,1,0,0,2,2,0,11,1,0,0,1,2,0,0,.252,.310,.414,.723,7,13,L,T.Skubal(63)
154,154,Sep 20,,SFG,L1-2,37,31,1,5,0,0,0,1,4,0,8,0,1,1,0,0,1,0,.252,.309,.412,.721,9,13,R,M.Black(64)
155,155,Sep 21,,SFG,L0-9,35,32,0,5,2,0,0,0,3,0,6,0,0,0,0,0,0,0,.251,.309,.411,.720,8,11,R,L.Roupp(61)
156,156,Sep 22,,SFG,L0-2,34,30,0,3,0,0,0,0,2,1,13,2,0,0,0,0,0,0,.250,.308,.409,.717,7,12,L,B.Snell(76)
157,157,Sep 24,@,WSN,W1-0,41,37,1,8,0,0,0,0,4,0,12,0,0,0,1,0,2,1,.250,.308,.408,.716,11,12,L,M.Parker(60)
158,158,Sep 25,@,WSN,W3-0,36,33,3,7,1,0,0,3,3,0,6,0,0,0,0,1,0,0,.250,.308,.407,.715,6,12,L,D.Herz(57)
159,159,Sep 26,@,WSN,W7-4,40,35,7,8,0,0,1,7,4,0,4,0,1,0,1,0,2,0,.250,.308,.406,.714,6,14,L,P.Corbin(42)
160,160,Sep 27,@,ATL,L0-3,31,29,0,3,2,0,0,0,2,0,9,0,0,0,0,0,1,0,.249,.307,.405,.712,4,10,L,M.Fried(85)
161,161,Sep 28,@,ATL,L1-2,31,28,1,3,1,0,0,0,3,0,13,0,0,0,0,1,0,0,.248,.307,.403,.710,3,10,R,R.López(73)
162,162,Sep 29,@,ATL,W4-2,33,30,4,5,1,0,2,4,3,0,14,0,0,0,0,2,0,0,.248,.306,.403,.710,2,9,R,C.Morton(38)
