Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Gary Sánchez,31,10,Free Agency,7.050,The MAS+ Agency,1 yr/$3M (24) & 25 mutual option,$3M,$1 [FA-*],FA,,,,,,,,sanchga02
Brandon Woodruff,31,7,Amateur Draft,5.161,McKinnis Sports,1 yr/$2.5M (24) & 25-26 team/mutual option,$2.5M,$0 [FA-*],$0 [FA-*],FA,,,,,,,woodrbr01
Hoby Milner,33,8,Free Agency,4.068,,1 yr/$2.05M (24),$2.05M,Arb,FA,,,,,,,,milneho01
Joe Ross,31,7,Free Agency,6.018,Wasserman,1 yr/$1.75M (24),$1.75M,FA,,,,,,,,,rossjo01
Joel Payamps,30,6,Traded,3.027,,1 yr/$1.65M (24),$1.65M,Arb,Arb,FA,,,,,,,payamjo01
Elvis Peguero,27,4,Traded,1.073,,1 yr/$754k (24),$754.3k,Pre-Arb,Arb,Arb,Arb,FA,,,,,pegueel01
Abner Uribe,24,2,Free Agency,0.086,,1 yr/$747k (24),$747.4k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,uribeab01
Bryan Hudson,27,2,Traded,0.017,,1 yr/$742k (24),$741.7k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,hudsobr01
Vinny Capra,27,3,Waivers,0.074,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,capravi01
Kevin Herget,33,3,Free Agency,0.072,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,hergeke01
Jake Bauers,28,5,Traded,3.084,VC Sports Group,1 yr/$1.35M (24),$1.35M,Arb,Arb,FA,,,,,,,bauerja01
Taylor Clarke,31,5,,4.120,Ballengee Group,1 yr/$1.25M (24),$1.25M,Arb,FA,,,,,,,,clarkta01
Bryse Wilson,26,7,Purchased,3.036,Steve Canter Pro ...,1 yr/$1M (24),$1M,Arb,Arb,FA,,,,,,,wilsobr02
Blake Perkins,27,2,Free Agency,0.133,,1 yr/$800k (24),$800k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,perkibl01
William Contreras,26,5,Traded,2.112,Octagon,1 yr/$767k (24),$766.9k,Arb,Arb,Arb,FA,,,,,,contrwi02
Trevor Megill,30,4,Traded,2.002,,1 yr/$757k (24),$756.6k,Arb,Arb,Arb,FA,,,,,,megiltr01
Andruw Monasterio,27,2,Free Agency,0.128,,1 yr/$753k (24),$752.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,monasan01
Nick Mears,27,5,Traded,2.022,,1 yr/$750k (24),$750k,Arb,Arb,Arb,FA,,,,,,mearsni01
Brice Turang,24,2,Amateur Draft,0.165,,1 yr/$748k (24),$748.2k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,turanbr02
Sal Frelick,24,2,Amateur Draft,0.072,,1 yr/$747k (24),$746.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,frelisa01
Garrett Mitchell,25,3,Amateur Draft,1.040,,1 yr/$744k (24),$744.3k,Pre-Arb,Arb,Arb,Arb,FA,,,,,mitchga01
DL Hall,25,3,Traded,0.074,,1 yr/$744k (24),$744.2k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,halldl01
JB Bukauskas,27,3,Waivers,1.086,,1 yr/$743k (24),$743.4k,Pre-Arb,Arb,Arb,Arb,FA,,,,,bukaujb01
Joey Ortiz,25,2,Traded,0.030,,1 yr/$742k (24),$741.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,ortizjo06
Owen Miller,27,4,Traded,2.076,,1 yr/$740k (24),$740k,Arb,Arb,Arb,FA,,,,,,milleow01
Francisco Mejia,28,7,,5.042,ISE Baseball,,Arb,,,,,,,,,,mejiafr01
Christian Arroyo,29,7,,4.166,O'Connell Sports ...,,Arb,,FA,,,,,,,,arroych01
Eric Haase,31,7,Free Agency,3.058,Warner Sports Man...,,Arb,,Arb,FA,,,,,,,haaseer01
Mitch White,29,5,Purchased,2.043,Apex Baseball,,,,Arb,Arb,FA,,,,,,whitemi03
Rob Zastryzny,32,6,Free Agency,1.064,,,,,Arb,Arb,Arb,FA,,,,,zastrro01
Easton McGee,26,2,,0.163,,,,,Arb,Arb,Arb,Arb,FA,,,,mcgeeea01
,,,,,,,,,,,,,,,,,-9999
