Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Enoli Paredes,28,17,0,0,20.2,1,0,1,0,0,1,,,0,0,0,0.44,0.06,,,3,0,0.00,0.20,0,P,pareden01
Joel Payamps,30,68,0,0,59,6,1,3,2,0,0.667,,,0,0,0,0.61,0.06,,,3,2,0.40,0.20,0,P,payamjo01
Elvis Peguero,27,52,0,0,51.1,7,1,5,1,1,0.857,,,-1,-4,-1,1.05,0.12,,,4,0,0.00,0.20,0,P,pegueel01
Freddy Peralta,28,32,32,0,173.2,32,16,15,1,3,0.969,,,1,1,0,1.61,0.97,,,17,5,0.23,0.20,0,P,peralfr01
Blake Perkins,27,119,104,95,956.1,308,300,7,1,2,0.997,10,12,8,10,7,2.89,2.56,,,,,,,,CF-DH,perkibl01
Colin Rea,33,32,27,0,167.2,40,20,15,5,0,0.875,,,-2,-2,0,1.88,1.09,,,16,2,0.11,0.20,2,P,reaco01
Carlos Rodriguez,22,3,3,0,12.1,2,0,2,0,0,1,,,2,32,0,1.46,0.67,,,0,0,,,1,P,rodrica02
Chris Roller,27,1,0,0,3,1,1,0,0,0,1,0,24,0,0,0,3,1,,,,,,,,CF,rollech01
Joe Ross,31,25,10,0,74,8,5,3,0,0,1,,,0,0,0,0.97,0.32,,,2,1,0.33,0.20,0,P,rossjo01
Gary Sánchez,31,32,28,25,247.1,228,212,11,5,2,0.978,0,0,-1,-5,0,8.11,2.82,3,7,23,6,0.21,0.20,1,C-1B-DH,sanchga02
Brice Turang,24,152,142,132,1277.2,626,240,379,7,78,0.989,12,11,22,21,1,4.36,4.05,,,,,,,,2B-DH,turanbr02
Abner Uribe,24,14,0,0,14.1,7,5,2,0,1,1,,,1,14,0,4.4,0.5,,,0,0,,,0,P,uribeab01
Thyago Vieira,31,16,0,0,22.1,3,0,2,1,0,0.667,,,1,9,0,0.81,0.13,,,1,0,0.00,0.20,1,P,vieirth01
Mitch White,29,6,0,0,8.1,1,1,0,0,0,1,,,1,24,0,1.08,0.17,,,2,0,0.00,0.21,0,P,whitemi03
Joey Wiemer,25,17,6,4,69.1,12,11,0,1,0,0.917,-1,-22,2,35,2,1.43,0.61,,,,,,,,LF-CF-RF-DH,wiemejo01
Devin Williams,29,22,0,0,21.2,3,2,1,0,0,1,,,0,0,0,1.25,0.14,,,1,0,0.00,0.20,0,P,willide03
Bryse Wilson,26,34,9,0,104.2,7,1,6,0,0,1,,,-1,-2,0,0.6,0.21,,,7,3,0.30,0.20,0,P,wilsobr02
Christian Yelich,32,48,47,44,402.1,79,75,3,1,1,0.987,-1,-4,-5,-15,0,1.74,1.05,,,,,,,,LF-DH,yelicch01
Rob Zastryzny,32,9,3,0,7.2,1,0,1,0,0,1,,,0,0,0,1.17,0.11,,,0,1,1.00,0.20,1,P,zastrro01
Infield Shifts,,,,,,,,,,,,,,16,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Team Totals,27,162,1458,1103,13014,5775,4338,1348,89,113,0.985,48,4,64,,,3.93,2.64,9,40,112,29,0.21,0.20,15,,-9999
Rank in 15 NL teams,,,,,,,,,10,,8,,,,,,,,,,,,,,,,-9999
