Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Landen Roupp,25,23,4,0,50.1,11,3,8,0,0,1,,,2,8,0,1.97,0.48,,,3,0,0.00,0.20,0,P,rouppla01
Blake Sabol,26,8,7,5,65,70,66,1,3,0,0.957,-3,-62,0,0,0,9.28,6.7,0,5,11,0,0.00,0.20,0,C-DH,sabolbl01
Casey Schmitt,25,38,29,20,267,93,30,60,3,12,0.968,-3,-13,-3,-13,0,3.03,2.31,,,,,,,,2B-SS-3B-DH,schmica01
Austin Slater,31,39,23,7,210,43,40,2,1,0,0.977,-4,-25,-1,-6,0,1.8,0.95,,,,,,,,RF-LF-CF-DH,slateau01
Blake Snell,31,20,20,1,104,14,5,8,1,0,0.929,,,1,2,1,1.13,0.65,,,13,3,0.19,0.20,1,P,snellbl01
Jorge Soler,32,92,91,,,,,,,,,,,,,,,,,,,,,,,DH,solerjo01
Kai-Wei Teng,25,4,0,0,11,4,2,2,0,0,1,,,0,0,0,3.27,1,,,0,0,,,0,P,tengka01
David Villar,27,10,10,9,86,90,79,11,0,5,1,-3,-36,0,0,0,9.42,8.18,,,,,,,,1B-DH,villada01
LaMonte Wade Jr.,30,104,92,70,785,739,660,78,1,59,0.999,-5,-7,1,2,2,8.46,6.71,,,,,,,,1B-RF-LF-DH,wadela01
Ryan Walker,28,76,1,0,80,11,5,6,0,0,1,,,0,0,0,1.24,0.14,,,8,2,0.20,0.20,1,P,walkery01
Donovan Walton,30,9,6,6,62.2,26,10,16,0,1,1,-1,-14,1,19,0,3.73,2.89,,,0,0,,,0,2B-P,waltodo01
Austin Warren,28,6,0,0,10.2,3,2,1,0,1,1,,,0,0,0,2.53,0.5,,,0,0,,,0,P,warreau01
Logan Webb,27,33,33,1,204.2,50,15,33,2,5,0.96,,,-3,-3,-1,2.11,1.45,,,21,5,0.19,0.20,2,P,webblo01
Mitch White,29,3,0,0,5.1,1,0,1,0,0,1,,,0,0,0,1.69,0.33,,,0,0,,,0,P,whitemi03
Keaton Winn,26,12,12,0,55.1,11,7,4,0,0,1,,,1,4,0,1.79,0.92,,,7,3,0.30,0.20,1,P,winnke01
Brett Wisely,25,86,68,54,626.2,288,85,200,3,43,0.99,2,3,4,8,-1,4.09,3.1,,,,,,,,2B-SS-3B-CF-1B,wiselbr01
Mike Yastrzemski,33,134,120,94,1043,221,212,5,4,1,0.982,-6,-7,4,1,0,1.87,1.58,,,0,0,,,0,RF-CF-P,yastrmi01
Infield Shifts,,,,,,,,,,,,,,6,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-5,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-9999
Team Totals,28.4,162,1458,1101,12903,5946,4301,1558,87,135,0.985,-46,-4,-3,,,4.09,2.66,15,53,146,37,0.20,0.20,15,,-9999
Rank in 15 NL teams,,,,,,,,,8,,8,,,,,,,,,,,,,,,,-9999
