Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
68,68,Jun 11,,HOU,L1-3,32,30,1,3,1,0,1,1,2,0,12,0,0,0,0,0,0,0,.243,.313,.379,.692,4,9,R,R.Blanco(69)
69,69,Jun 12,,HOU,W5-3,38,32,5,10,2,0,0,5,3,0,7,1,0,2,1,1,1,0,.244,.314,.379,.692,9,9,L,F.Valdez(26)
70,70,Jun 14,,LAA,L6-8,43,35,6,10,1,0,1,5,7,0,7,1,0,0,0,2,0,0,.245,.315,.379,.694,10,10,L,T.Anderson(54)
71,71,Jun 15,,LAA,L3-4,38,36,3,10,3,0,1,3,2,1,10,0,0,0,0,1,1,0,.246,.315,.380,.695,8,12,L,P.Sandoval(42)
72,72,Jun 16,,LAA,W13-6,47,41,13,16,6,0,2,13,4,0,5,2,0,0,2,1,0,0,.248,.318,.385,.703,10,11,R,B.Joyce(56)
73,73,Jun 17,@,CHC,W7-6,46,36,7,9,1,1,3,7,8,0,11,1,0,0,0,0,1,0,.248,.319,.388,.707,12,9,R,J.Assad(58)
74,74,Jun 18,@,CHC,L2-5,33,31,2,4,1,0,0,2,2,0,12,0,0,0,0,0,0,0,.247,.318,.385,.703,4,10,L,J.Steele(64)
75,75,Jun 19,@,CHC,L5-6,39,33,5,6,1,0,1,5,6,0,11,0,0,0,0,0,0,0,.246,.317,.384,.702,7,12,R,K.Hendricks(68)
76,76,Jun 20,@,STL,L5-6,40,35,5,11,2,0,1,5,4,0,8,0,0,1,0,2,0,0,.247,.318,.385,.704,8,12,R,A.Pallante(36)
77,77,Jun 22,@,STL,L4-9,38,36,4,10,2,0,0,4,2,0,5,0,0,0,0,1,1,0,.247,.318,.385,.703,7,9,R,M.Mikolas(45)
78,78,Jun 23,@,STL,L3-5,32,28,3,2,1,0,1,3,3,0,10,0,0,1,0,0,0,0,.245,.316,.383,.699,2,11,R,S.Gray(79)
79,79,Jun 24,,CHC,W5-4,39,33,5,9,2,0,2,5,4,1,10,0,0,2,0,0,0,0,.246,.317,.384,.701,8,11,L,J.Steele(66)
80,80,Jun 25,,CHC,W5-1,33,29,5,8,1,0,0,5,2,0,5,0,0,2,0,0,0,1,.246,.317,.384,.700,4,9,R,K.Hendricks(62)
81,81,Jun 26,,CHC,W4-3,31,30,4,6,0,0,3,4,1,0,12,0,0,0,0,0,0,0,.245,.316,.385,.700,3,9,R,H.Wesneski(52)
82,82,Jun 27,,CHC,L3-5,39,36,3,6,1,0,0,2,3,0,10,0,0,0,0,0,0,0,.244,.315,.382,.697,7,12,L,S.Imanaga(51)
