Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
100,100,Jul 23,@,MIA,L3-6,8.0,10,6,6,0,1,9,1,0,3.71,35,154,96,3,2,3,0,32,1,0,0,1,1,0,0,5,Mark Ripperger,A.Suárez (11-18-L) K.Akin (1) B.Smith (1) V.Nittoli (9) B.Baker (1)
101,101,Jul 24,@,MIA,L3-6,8.0,9,6,6,0,4,5,1,0,3.73,35,147,96,1,1,1,0,29,1,0,0,1,1,0,1,5,Roberto Ortiz,C.McDermott (99-41) C.Irvin (12) J.Webb (3-L) C.Pérez (3) K.Akin (0)
102,102,Jul 25,@,MIA,W7-6,10.0,9,6,4,2,3,10,1,0,3.73,43,157,105,3,1,1,0,39,2,0,0,0,1,1,0,5,Alfonso Márquez,C.Burnes (5-58) J.Webb (0) C.Kimbrel (4-BSv) Y.Cano (4-W) C.Pérez (0-Sv)
103,103,Jul 26,,SDP,L4-6,9.0,13,6,5,1,0,6,2,0,3.74,39,174,116,0,0,0,0,39,2,0,0,0,0,1,2,5,Sean Barber,G.Rodriguez (5-47) B.Smith (2) K.Akin (1) S.Domínguez (3) C.Kimbrel (0-L)
104,104,Jul 27,,SDP,L4-9,9.0,14,9,6,3,2,8,1,0,3.76,44,158,110,0,0,1,0,40,2,1,1,0,2,1,0,3,Ryan Blakney,D.Kremer (5-54-L) C.Irvin (2) B.Baker (3)
105,105,Jul 28,,SDP,W8-6,9.0,10,6,6,0,3,6,1,1,3.79,39,164,103,1,0,1,1,35,2,0,0,0,0,0,1,5,Jim Wolf,A.Suárez (4-41) J.Webb (2) C.Pérez (2-W) S.Domínguez (1-H) Y.Cano (2-Sv)
106,106,Jul 29(1),,TOR,W11-5,9.0,13,5,5,0,0,11,2,0,3.80,40,141,103,0,0,0,0,40,1,0,0,0,0,0,0,3,Ramon De Jesus,Z.Eflin (4-47-W) K.Akin (2) B.Smith (2)
107,107,Jul 29(2),,TOR,L4-8,9.0,13,8,5,3,7,8,1,0,3.81,49,180,114,2,1,3,0,41,5,0,1,0,1,2,0,4,Junior Valentine,C.Povich (16-27-L) J.Webb (0) C.Irvin (1) C.Kimbrel (2)
108,108,Jul 30,,TOR,W6-2,9.0,5,2,2,0,3,10,0,2,3.79,36,130,83,2,1,1,0,30,1,0,0,0,1,0,1,4,Jonathan Parra,C.Burnes (4-62-W) C.Pérez (1) Y.Cano (1) S.Domínguez (1)
109,109,Jul 31,,TOR,W10-4,9.0,7,4,3,1,4,11,1,0,3.78,39,147,99,0,0,0,0,35,3,0,0,0,0,2,1,4,Adrian Johnson,G.Rodriguez (4-51-W) K.Akin (1) C.Kimbrel (1) B.Smith (1)
