Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
25,25,Apr 24,@,NYY,L3-7,8.0,11,7,7,0,4,8,3,0,4.15,39,164,102,0,0,0,0,33,0,1,0,0,2,1,1,4,Nick Mahrley,J.Boyle (4-47-L) M.Kelly (3) D.Jiménez (2) K.Muller (4)
26,26,Apr 25,@,NYY,W3-1,9.0,11,1,1,0,3,11,1,0,4.03,39,148,94,2,0,0,1,36,1,0,0,0,0,1,2,5,Marvin Hudson,A.Wood (4-52-W) A.Adams (1-H) L.Erceg (2-H) T.McFarland (1-H) M.Miller (2-Sv)
27,27,Apr 26,@,BAL,W3-2,10.0,6,2,2,0,1,7,1,0,3.94,37,156,107,1,0,0,0,36,1,0,0,0,0,0,0,4,John Libka,R.Stripling (4-52) T.McFarland (0) M.Spence (4-W) M.Miller (0-Sv)
28,28,Apr 27,@,BAL,L0-7,8.0,9,7,7,0,1,9,3,0,4.06,34,118,85,0,0,2,0,33,1,0,0,0,0,0,0,2,James Hoye,J.Sears (4-36-L) M.Kelly (2)
29,29,Apr 28,@,BAL,W7-6,9.0,9,6,6,0,2,12,3,0,4.13,38,158,107,0,0,2,0,36,1,0,0,0,0,0,0,5,Rob Drake,P.Blackburn (4-28) K.Muller (3) A.Adams (2) T.McFarland (1-W) L.Erceg (2-Sv)
30,30,Apr 29,,PIT,W5-1,9.0,2,1,1,0,5,7,0,0,4.03,31,130,69,0,0,0,0,26,0,0,0,0,0,0,3,3,Dan Bellino,J.Boyle (4-61-W) D.Jiménez (4) M.Kelly (1)
31,31,Apr 30,,PIT,W5-2,9.0,5,2,2,0,4,12,1,0,3.96,36,151,92,0,0,0,0,30,0,0,0,1,1,0,0,4,Phil Cuzzi,A.Wood (4-46) M.Spence (3-W) L.Erceg (1-H) M.Miller (3-Sv)
32,32,May 1,,PIT,W4-0,9.0,4,0,0,0,4,5,0,0,3.83,37,140,90,3,0,0,0,33,1,0,0,0,0,2,0,6,Tony Randazzo,R.Stripling (4-68-W) T.McFarland (2-H) A.Adams (2-H) D.Jiménez (1-H) M.Kelly (1-H) M.Miller (0)
33,33,May 3,,MIA,W3-1,9.0,7,1,1,0,2,10,0,1,3.75,36,147,98,3,0,2,0,33,2,1,0,0,0,0,1,4,Brian Knight,J.Sears (5-70-W) A.Adams (1-H) M.Kelly (1-H) L.Erceg (2-Sv)
34,34,May 4,,MIA,W20-4,9.0,7,4,4,0,2,4,2,0,3.75,35,140,88,0,0,0,0,33,3,0,0,0,0,0,1,3,Ryan Additon,P.Blackburn (5-67-W) D.Jiménez (2) K.Muller (5)
35,35,May 5,,MIA,L3-12,9.0,14,12,12,0,5,8,1,1,3.99,45,176,106,1,1,3,1,39,3,0,0,0,0,0,1,4,Chris Guccione,J.Boyle (5-33-L) M.Spence (4) M.Kelly (1) T.McFarland (3)
36,36,May 6,,TEX,L2-4,9.0,5,4,3,1,5,8,1,0,3.97,38,150,97,0,0,0,0,33,0,0,0,0,0,1,0,4,Mike Estabrook,A.Wood (5-70) A.Adams (2-H) L.Erceg (2-BL) D.Jiménez (1)
37,37,May 7,,TEX,L8-15,9.0,19,15,9,6,5,10,1,1,4.10,54,206,131,2,2,0,0,47,3,0,0,0,1,1,0,3,Erich Bacchus,R.Stripling (5-3-L) H.Harris (99) T.Ferguson (99)
38,38,May 8(1),,TEX,W9-4,9.0,9,4,4,0,1,8,2,0,4.10,37,136,92,1,0,0,0,35,1,0,0,0,1,0,0,3,Tripp Gibson,J.Sears (4-39-W) A.Adams (1-H) M.Miller (6)
39,39,May 8(2),,TEX,L11-12,9.0,16,12,11,1,7,10,0,1,4.28,50,194,124,5,5,1,0,42,1,0,1,0,0,1,1,5,Laz Diaz,O.Bido (99-38-L) M.Kelly (2) T.McFarland (2) K.Muller (3) E.Lucas (99)
40,40,May 10,@,SEA,L1-8,8.0,11,8,8,0,4,11,1,1,4.39,39,163,102,5,3,1,0,34,2,0,0,0,0,0,1,4,Lance Barrett,P.Blackburn (5-22-L) T.Ferguson (2) E.Lucas (1) M.Kelly (1)
41,41,May 11,@,SEA,W8-1,9.0,3,1,1,0,0,7,1,0,4.30,29,115,75,0,0,0,1,29,1,0,0,0,0,0,0,5,Roberto Ortiz,J.Estes (99-64-W) M.Spence (5-H) A.Adams (2-H) L.Erceg (4) M.Kelly (0)
42,42,May 12,@,SEA,L4-8,8.0,8,8,4,4,4,7,3,0,4.31,35,144,89,0,0,1,0,29,1,0,0,1,1,1,2,4,Alex MacKay,A.Wood (5-36-L) K.Muller (3) T.Ferguson (1) T.McFarland (3)
43,43,May 13,@,HOU,L2-9,8.0,10,9,7,2,4,3,2,1,4.38,37,123,75,1,0,1,0,32,3,0,1,0,0,1,3,4,Laz Diaz,R.Stripling (5-48-L) T.McFarland (0) M.Spence (1) E.Lucas (2)
44,44,May 14,@,HOU,L1-2,9.1,6,2,1,1,2,11,1,0,4.30,36,163,110,0,0,0,0,34,3,0,0,0,0,0,0,5,Mike Estabrook,J.Sears (5-54) A.Adams (2) L.Erceg (2) M.Miller (5) M.Kelly (2-L)
45,45,May 15,@,HOU,L0-3,8.0,8,3,3,0,1,5,0,0,4.28,32,95,68,1,0,0,0,29,1,0,0,0,2,0,1,3,Erich Bacchus,A.Brooks (99-55-L) T.McFarland (1) T.Ferguson (2)
46,46,May 16,@,HOU,L1-8,8.0,8,8,8,0,6,8,1,1,4.37,38,153,94,1,1,0,0,30,3,0,0,0,1,0,1,3,Tripp Gibson,J.Estes (4-13-L) H.Harris (8) T.Ferguson (0)
47,47,May 17,@,KCR,L2-6,8.0,11,6,6,0,3,5,2,0,4.42,38,144,91,2,1,0,0,35,3,0,0,0,0,0,0,4,Gabe Morales,M.Spence (3-53-L) T.McFarland (1) A.Adams (2) B.Bielak (9)
48,48,May 18,@,KCR,L3-5,8.0,11,5,5,0,0,4,1,0,4.44,34,120,85,1,0,0,0,34,3,0,0,0,0,0,1,4,Ryan Additon,R.Stripling (4-35-L) T.McFarland (0) L.Erceg (3) M.Kelly (3)
49,49,May 19,@,KCR,L4-8,8.0,10,8,8,0,4,5,0,0,4.53,36,126,86,1,1,1,0,29,3,2,1,2,1,0,2,5,Brian Knight,J.Sears (4-39-L) A.Adams (1) T.Ferguson (2) K.Muller (6) M.Miller (4)
50,50,May 21,,COL,W5-4,9.0,8,4,4,0,1,6,3,1,4.52,38,139,95,0,0,1,0,36,0,0,0,0,0,0,0,5,Bill Miller,A.Brooks (5-50) S.Alexander (99) A.Adams (1) L.Erceg (2-W) M.Miller (1-Sv)
51,51,May 22,,COL,L3-4,12.0,12,4,3,1,5,11,2,0,4.46,51,193,124,1,0,1,0,46,4,0,0,0,0,0,2,7,Malachi Moore,M.Spence (4-42) B.Bielak (4) T.McFarland (3) M.Kelly (3) L.Erceg (0) A.Adams (0) K.Muller (2-L)
52,52,May 23,,COL,W10-9,11.0,11,9,7,2,2,12,0,0,4.49,44,152,118,2,2,2,0,41,5,0,1,0,1,0,0,5,Doug Eddings,J.Estes (6-53) S.Alexander (1) M.Kelly (0) M.Miller (1) B.Bielak (0-W)
53,53,May 24,,HOU,L3-6,9.0,12,6,6,0,2,4,1,0,4.52,40,131,87,4,0,0,1,38,1,0,0,0,0,0,0,4,Bruce Dreckman,R.Stripling (5-24-L) K.Muller (1) M.Kelly (0) T.McFarland (1)
54,54,May 25,,HOU,W3-1,9.0,4,1,0,1,1,6,0,1,4.43,33,111,76,2,0,1,0,30,0,0,0,0,1,1,1,5,Jeremie Rehak,J.Sears (5-66-W) A.Adams (2-H) L.Erceg (2-H) S.Alexander (1-H) M.Miller (1-Sv)
55,55,May 26,,HOU,L2-5,9.0,11,5,1,4,5,5,1,0,4.37,41,147,89,2,0,1,0,35,1,0,0,0,1,0,3,3,Clint Vondrak,A.Brooks (4-31-L) T.Ferguson (6) J.O'Loughlin (99)
56,56,May 28,@,TBR,W3-0,9.0,3,0,0,0,2,8,0,0,4.29,31,159,101,1,0,0,0,29,0,0,0,0,0,0,1,4,Brennan Miller,M.Spence (5-69-W) T.McFarland (3-H) M.Kelly (3-H) M.Miller (2-Sv)
57,57,May 29,@,TBR,L3-4,8.1,9,4,4,0,3,8,0,1,4.29,36,151,102,3,1,1,1,31,5,1,0,1,0,0,0,6,Brian O'Nora,J.Estes (5-62) T.Ferguson (2-BSv) S.Alexander (3) A.Adams (3) T.McFarland (0) M.Kelly (0-L)
58,58,May 30,@,TBR,L5-6,11.1,6,6,2,4,7,12,3,1,4.23,46,171,116,1,1,2,1,37,1,0,2,0,1,1,1,7,Chris Conroy,H.Harris (13-57) M.Kelly (0-H) S.Alexander (0-H) A.Adams (0-H) M.Miller (1-BSv) T.Ferguson (0-L) T.McFarland (0)
59,59,May 31,@,ATL,L2-4,8.0,6,4,4,0,2,6,0,0,4.23,32,105,68,0,0,0,0,28,2,0,0,0,2,0,0,2,John Libka,J.Sears (5-52-L) B.Basso (99)
60,60,Jun 1,@,ATL,W11-9,9.0,13,9,8,1,4,4,2,0,4.30,43,164,100,6,1,0,0,39,4,0,0,0,0,0,0,7,James Hoye,A.Brooks (5-21) T.McFarland (1) J.O'Loughlin (5-H) M.Kelly (1-W) S.Alexander (1-H) A.Adams (1-H) D.Jiménez (25-Sv)
61,61,Jun 2,@,ATL,L1-3,8.0,7,3,2,1,5,8,0,0,4.27,36,135,83,1,0,0,0,31,4,0,1,0,0,0,0,4,Rob Drake,L.Medina (99-67) B.Basso (1) A.Adams (0-L) D.Jiménez (0)
62,62,Jun 4,,SEA,L3-4,9.0,10,4,4,0,2,7,0,0,4.26,38,144,92,0,0,2,0,36,4,0,1,0,0,0,1,3,Hunter Wendelstedt,M.Spence (6-40-L) S.Newcomb (99) S.Alexander (2)
