Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
44,P,Jeffrey Springs*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,sprinje01
45,P,Aaron Civale,29,0,0,,,,,,,,,,,,,,,,,,,,,,,civalaa01
46,P,Edwin Uceta,26,0,0,,,,,,,,,,,,,,,,,,,,,,,ucetaed01
47,P,Richard Lovelady*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,lovelri01
48,P,Ryan Pepiot,26,0,0,,,,,,,,,,,,,,,,,,,,,,,pepiory01
49,P,Zach Eflin,30,0,0,,,,,,,,,,,,,,,,,,,,,,,eflinza01
50,P,Shawn Armstrong,33,0,0,,,,,,,,,,,,,,,,,,,,,,,armstsh01
51,P,Phil Maton,31,0,0,,,,,,,,,,,,,,,,,,,,,,,matonph01
52,P,Tyler Zuber,29,0,0,,,,,,,,,,,,,,,,,,,,,,,zuberty01
53,P,Cole Sulser,34,0,0,,,,,,,,,,,,,,,,,,,,,,,sulseco01
54,P,Erasmo Ramírez,34,0,0,,,,,,,,,,,,,,,,,,,,,,,ramirer02
,,Team Totals,27.3,162,6006,5389,604,1241,245,23,147,564,178,53,493,1485,.230,.302,.366,.669,92,1973,87,78,10,32,15,-9999
,,Rank in 15 AL teams,,,,11,14,12,7,6,14,,1,15,4,12,12,11,14,14,,14,,5,,13,,-9999
