Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Logan Porter,28,1st,,0.021,Gaeta Sports Mana...,,,,,Arb,Arb,Arb,FA,,portelo01
,,,,,,,,,,,,,,,-9999
,Justin Verlander traded to/from Houston Astros,Justin Verlander traded to/from Houston Astros,Justin Verlander traded to/from Houston Astros,Justin Verlander traded to/from Houston Astros,Justin Verlander traded to/from Houston Astros,Justin Verlander traded to/from Houston Astros,$25M,,,,,,,,-9999
,Darin Ruf buyout,Darin Ruf buyout,Darin Ruf buyout,Darin Ruf buyout,Darin Ruf buyout,Darin Ruf buyout,$250k,,,,,,,,-9999
,Eduardo Escobar buyout,Eduardo Escobar buyout,Eduardo Escobar buyout,Eduardo Escobar buyout,Eduardo Escobar buyout,Eduardo Escobar buyout,$500k,,,,,,,,-9999
,Max Scherzer traded to/from Texas Rangers,Max Scherzer traded to/from Texas Rangers,Max Scherzer traded to/from Texas Rangers,Max Scherzer traded to/from Texas Rangers,Max Scherzer traded to/from Texas Rangers,Max Scherzer traded to/from Texas Rangers,$20.83M,,,,,,,,-9999
,James McCann traded to/from Baltimore Orioles,James McCann traded to/from Baltimore Orioles,James McCann traded to/from Baltimore Orioles,James McCann traded to/from Baltimore Orioles,James McCann traded to/from Baltimore Orioles,James McCann traded to/from Baltimore Orioles,$9.5M,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*37,6,4,3,2,2,2,1,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$311M,$127.6M,$85.3M,$71.6M,$54.6M,$54.6M,$54.6M,$34.1M,-9999
,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,2,1,2,2,,,,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$21.25M,$18.5M,$34.2M,$35.4M,,,,-9999
,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-8-0,0-0-17-0,0-0-20-0,0-0-16-0,0-0-9-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$2.04M,$45.3M,$96.3M,$113.3M,$90.7M,$51M,$0,$0,-9999
,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,11,4,2,7,14,23,24,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$8.27M,$3.01M,$1.5M,$5.26M,$10.52M,$17.29M,$18.04M,-9999
,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$181.2M,$184.7M,$186.4M,$150.5M,$116.1M,$71.9M,$52.1M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$200.9M,$202.4M,$219.2M,$184.4M,$116.1M,$71.9M,$52.1M,-9999
