Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
24,24,Apr 24,@,SFG,W8-2,9.0,8,2,1,1,6,13,1,0,3.53,40,181,111,4,0,1,0,34,1,0,0,0,0,1,0,4,Mark Ripperger,S.Manaea (4-58) R.Garrett (3-W) A.Ottavino (4) E.Díaz (3)
25,25,Apr 26,,STL,L2-4,9.0,5,4,4,0,4,10,2,1,3.55,36,148,95,3,0,0,0,31,0,0,0,0,0,0,1,4,Mike Estabrook,J.Buttó (5-46-L) J.Walker (3) J.López (3) S.Reid-Foley (3)
26,26,Apr 27,,STL,L4-7,9.0,10,7,7,0,4,9,0,0,3.69,41,170,107,3,1,2,0,35,4,0,0,1,1,0,0,5,Erich Bacchus,A.Houser (5-21-L) J.Walker (0) D.Núñez (17) J.Diekman (3) S.Reid-Foley (0)
27,27,Apr 28,,STL,W4-2,11.0,4,2,1,1,3,7,0,0,3.56,39,139,96,0,0,1,0,35,3,0,1,1,0,0,0,3,Laz Diaz,J.Quintana (5-74) E.Díaz (3) R.Garrett (3-W)
28,28,Apr 29,,CHC,L1-3,9.0,3,3,3,0,2,8,1,1,3.54,32,120,82,0,0,0,0,29,1,0,0,0,0,0,0,2,Ryan Wills,L.Severino (5-79) E.Díaz (0-L)
29,29,Apr 30,,CHC,W4-2,9.0,4,2,2,0,6,6,0,0,3.48,36,158,95,0,0,1,0,29,1,0,0,0,1,0,1,5,Carlos Torres,S.Manaea (5-56) S.Reid-Foley (2-W) R.Garrett (1-H) A.Ottavino (5-H) J.López (3-Sv)
30,30,May 1,,CHC,L0-1,9.0,5,1,1,0,3,13,0,0,3.40,34,146,89,1,0,2,0,30,2,0,0,0,1,0,1,5,Charlie Ramos,J.Buttó (4-64-L) J.López (0) J.Diekman (3) A.Ottavino (0) S.Reid-Foley (0)
31,31,May 2,,CHC,W7-6,11.0,9,6,5,1,7,8,1,0,3.43,47,180,109,1,0,6,0,40,4,0,1,0,0,0,1,6,Chad Fairchild,A.Houser (4-41) D.Núñez (4) J.Diekman (0) R.Garrett (1) E.Díaz (2) D.Young (99-W)
32,32,May 3,@,TBR,L8-10,8.0,13,10,10,0,6,7,1,0,3.64,41,155,95,1,0,1,1,34,2,0,0,0,1,0,1,4,Bruce Dreckman,J.Quintana (4-7-L) D.Núñez (0) J.López (1) D.Young (0)
33,33,May 4,@,TBR,L1-3,8.0,7,3,3,0,4,9,0,0,3.64,34,145,96,4,1,2,0,30,1,0,0,0,0,0,1,4,Tom Hanahan,C.Scott (99-65) R.Garrett (1) A.Ottavino (2-L) S.Reid-Foley (2)
34,34,May 5,@,TBR,L6-7,9.0,9,7,6,1,9,11,1,0,3.71,44,176,109,0,0,7,1,34,3,1,0,1,0,0,0,6,Clint Vondrak,L.Severino (5-43) J.López (1-H) R.Garrett (0-H) S.Reid-Foley (0-H) E.Díaz (2-BSv) J.Diekman (2-BL)
35,35,May 6,@,STL,W4-3,9.0,8,3,3,0,1,4,0,0,3.69,35,129,82,0,0,0,0,34,5,0,0,0,0,0,0,4,Jordan Baker,S.Manaea (5-48-W) J.Diekman (0-H) A.Ottavino (1-H) E.Díaz (0-Sv)
36,36,May 7,@,STL,W7-5,9.0,11,5,5,0,5,11,3,0,3.72,42,167,99,2,0,0,0,36,1,0,0,0,1,0,1,6,Dan Merzel,J.Buttó (5-45-W) C.Sulser (23-H) S.Reid-Foley (1-H) J.López (1-H) R.Garrett (1-H) A.Ottavino (0-Sv)
37,37,May 10,,ATL,L2-4,9.0,7,4,4,0,4,6,3,0,3.73,37,142,85,0,0,0,0,33,0,0,0,0,0,0,2,3,John Libka,J.Quintana (6-40-L) Y.Ramírez (8) A.Houser (7)
38,38,May 11,,ATL,L1-4,9.0,7,4,4,0,4,10,1,1,3.74,38,139,83,2,0,0,0,33,1,0,0,0,0,1,2,3,James Hoye,C.Scott (6-54-L) S.Reid-Foley (3) J.López (3)
39,39,May 12,,ATL,W4-3,9.0,6,3,3,0,6,8,1,1,3.72,38,160,95,3,1,1,0,31,0,0,0,0,0,0,0,5,Rob Drake,L.Severino (6-52) R.Garrett (4) A.Ottavino (4) J.Diekman (5) E.Díaz (5-W)
40,40,May 13,,PHI,L4-5,10.0,8,5,4,1,4,10,1,1,3.71,42,165,103,1,0,3,1,36,1,0,0,0,1,0,0,5,Gabe Morales,S.Manaea (6-65) J.López (1-H) A.Ottavino (0-H) E.Díaz (0-BSv) S.Reid-Foley (1-L)
41,41,May 14,,PHI,L0-4,9.0,7,4,4,0,8,7,0,1,3.72,42,183,103,2,0,0,0,33,2,0,0,0,0,0,0,5,Ryan Additon,J.Buttó (6-57-L) Y.Ramírez (3) J.Diekman (1) J.López (0) S.Reid-Foley (0)
42,42,May 15,@,PHI,L5-10,8.0,10,10,7,3,5,3,1,1,3.81,40,130,77,1,0,0,0,32,1,0,0,1,1,0,0,3,Brian Knight,J.Lucchesi (99-31-L) G.Hartwig (23) A.Houser (4)
43,43,May 16,@,PHI,W6-5,11.0,9,5,4,1,4,9,0,1,3.79,46,170,108,2,2,2,0,40,2,0,1,0,1,0,1,6,Chris Guccione,J.Quintana (5-56) R.Garrett (3-BSv) A.Ottavino (2-H) E.Díaz (2-BSv) J.López (1-W) J.Diekman (1-Sv)
44,44,May 17,@,MIA,L0-8,8.0,13,8,8,0,4,8,1,1,3.90,41,163,103,0,0,0,0,34,2,0,0,0,2,1,1,3,Andy Fletcher,C.Scott (5-34-L) J.Walker (19) G.Hartwig (1)
45,45,May 18,@,MIA,L9-10,9.1,13,10,9,1,3,6,2,0,4.01,43,140,93,1,1,0,0,40,3,0,0,0,0,0,1,6,Mike Muchlinski,L.Severino (5-42) R.Garrett (1-H) A.Ottavino (1-H) E.Díaz (1) J.Diekman (1) J.López (1-L)
46,46,May 19,@,MIA,W7-3,9.0,8,3,3,0,2,11,2,1,3.99,37,166,116,0,0,0,1,34,1,0,0,0,0,0,0,4,Jansen Visconti,S.Manaea (5-52-W) S.Reid-Foley (4-H) J.Diekman (0-H) R.Garrett (0-Sv)
47,47,May 20,@,CLE,L1-3,8.0,4,3,2,1,2,8,0,0,3.95,30,119,74,0,0,1,0,28,1,0,0,0,0,0,0,3,Manny Gonzalez,T.Megill (49-54-L) J.Walker (2) J.López (1)
48,48,May 21,@,CLE,L6-7,8.0,7,7,7,0,3,8,2,1,4.03,34,128,83,2,1,0,1,30,4,0,0,0,0,0,0,4,Todd Tichenor,A.Houser (5-34-L) J.Diekman (1) J.López (0) S.Reid-Foley (1)
49,49,May 22,@,CLE,L3-6,8.0,8,6,6,0,3,8,1,2,4.08,35,136,82,2,0,0,0,30,3,0,0,0,0,0,2,4,Emil Jimenez,J.Quintana (5-56) R.Garrett (2-L) A.Ottavino (3) J.Walker (1)
50,50,May 24,,SFG,L7-8,9.0,9,8,8,0,2,6,3,0,4.16,37,158,93,0,0,1,0,35,1,1,0,0,0,0,1,4,Ben May,C.Scott (6-63) E.Díaz (5-H) R.Garrett (1-L) J.López (2)
51,51,May 25,,SFG,L2-7,10.0,8,7,2,5,4,9,0,1,4.10,43,161,106,3,3,1,0,38,0,1,0,0,0,0,0,5,CB Bucknor,L.Severino (6-72) A.Ottavino (2-H) E.Díaz (0-BSv) S.Reid-Foley (3-L) J.Walker (2)
52,52,May 26,,SFG,W4-3,9.0,7,3,3,0,2,8,1,0,4.08,35,132,92,0,0,0,0,33,4,0,0,0,0,0,1,2,Adam Beck,S.Manaea (6-54) A.Houser (4-W)
53,53,May 28(1),,LAD,L2-5,10.0,11,5,3,2,1,13,1,0,4.05,42,153,103,2,1,0,0,41,1,0,0,0,0,0,1,5,Jeremy Riggs,T.Megill (7-79) R.Garrett (3-H) J.Diekman (6-H) A.Ottavino (2-BSv) J.López (3-L)
