Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Brooks Raley,36,8,0,0,7,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,raleybr01
Yohan Ramírez,29,5,0,0,8.1,0,0,0,0,0,,,,0,0,0,0,0,,,1,0,0.00,0.20,0,P,ramiryo01
Sean Reid-Foley,28,23,0,0,21.2,0,0,0,0,0,,,,-1,-9,,0,0,,,3,1,0.25,0.20,0,P,reidfse01
Pablo Reyes,30,1,0,,,,,,,,,,,,,,,,,,,,,,,DH,reyespa01
Christian Scott,25,9,9,0,47.1,5,3,2,0,0,1,,,1,4,0,0.95,0.56,,,1,2,0.67,0.20,0,P,scottch01
Kodai Senga,31,1,1,0,5.1,1,1,0,0,0,1,,,0,0,0,1.69,1,,,0,0,,,0,P,sengako01
Luis Severino,30,31,31,1,182,44,9,30,5,2,0.886,,,5,5,-1,1.93,1.26,,,15,5,0.25,0.20,2,P,severlu01
Zack Short,29,7,3,1,28,10,3,6,1,2,0.9,0,18,0,0,0,2.89,1.13,,,,,,,,3B-2B-SS-DH,shortza01
Drew Smith,30,19,0,0,17.2,1,0,1,0,0,1,,,0,0,0,0.51,0.05,,,0,0,,,0,P,smithdr01
Ryne Stanek,32,17,0,0,16.1,2,2,0,0,0,1,,,0,0,0,1.1,0.12,,,1,0,0.00,0.20,0,P,stanery01
DJ Stewart,30,36,29,6,206,51,49,2,0,1,1,-7,-39,-5,-29,0,2.23,0.82,,,,,,,,RF-LF-1B-DH,stewadj01
Cole Sulser,34,4,0,0,4.2,0,0,0,0,0,,,,-1,-43,,0,0,,,1,0,0.00,0.20,0,P,sulseco01
Tyrone Taylor,30,113,75,51,754.1,199,193,3,3,0,0.985,1,1,10,16,2,2.34,1.38,,,,,,,,RF-CF-LF-DH,tayloty01
Julio Teheran,33,1,1,0,2.2,1,1,0,0,0,1,,,0,0,0,3.38,1,,,0,0,,,0,P,teherju01
Michael Tonkin,34,5,0,0,7,2,2,0,0,0,1,,,0,0,0,2.57,0.4,,,0,0,,,0,P,tonkimi01
Luis Torrens,28,45,34,21,299.1,317,296,20,1,2,0.997,7,28,4,16,-1,9.5,6.72,3,14,15,13,0.46,0.20,1,C-P-DH,torrelu01
Mark Vientos,24,110,105,78,905.1,264,79,180,5,16,0.981,1,2,-5,-7,0,2.57,2.29,,,,,,,,3B-1B-DH,vientma01
Josh Walker,29,10,0,0,12.1,2,2,0,0,0,1,,,0,0,0,1.46,0.2,,,1,0,0.00,0.20,0,P,walkejo03
Joey Wendle,34,18,10,5,98,40,13,24,3,3,0.925,-1,-10,-1,-12,0,3.4,2.06,,,,,,,,2B-3B-SS,wendljo01
Jesse Winker,30,27,23,3,155,33,31,2,0,0,1,-2,-12,0,0,1,1.92,0.89,,,,,,,,RF-LF-DH,winkeje01
Alex Young,30,14,0,0,13.2,2,1,1,0,0,1,,,0,0,0,1.32,0.14,,,0,0,,,0,P,youngal01
Danny Young,30,42,0,0,37.2,6,2,2,2,0,0.667,,,-1,-5,0,0.96,0.1,,,2,0,0.00,0.21,0,P,youngda02
Infield Shifts,,,,,,,,,,,,,,12,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,11,,,,,,,,,,,,,-9999
Team Totals,30.2,162,1458,1028,12981,5829,4327,1408,94,127,0.984,-1,0,18,,,3.98,2.6,14,67,140,35,0.20,0.20,22,,-9999
Rank in 15 NL teams,,,,,,,,,12,,11,,,,,,,,,,,,,,,,-9999
