Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
211,Gustavo Campero,26,LAA,AL,13,12,11,108.1,28,26,1,1,0,.964,-1,-12,-2,-22,-1,2.24,2.08,OF,campegu01
212,Luis Campusano,25,SDP,NL,88,74,70,673.2,728,701,24,3,0,.996,-5,-9,-17,-30,-5,9.69,8.24,C-1B,campulu01
213,Alexander Canario,24,CHC,NL,14,7,4,71.0,24,24,0,0,0,1.000,1,25,2,33,0,3.04,1.71,OF,canaral01
214,Jeimer Candelario,30,CIN,NL,80,79,68,689.2,327,220,96,11,26,.966,-9,-16,-10,-17,-1,4.12,3.67,3B-1B,candeje01
215,Mark Canha,35,TOT,MLB,89,74,58,665.0,407,383,20,4,32,.990,-2,-4,-6,-10,-1,5.45,4.33,1B-OF-3B,canhama01
216,Griffin Canning,28,LAA,AL,32,31,0,171.2,32,12,20,0,0,1.000,,,5,6,0,1.68,1.00,P,cannigr01
217,Jonathan Cannon,23,CHW,AL,23,21,0,124.1,30,17,13,0,2,1.000,,,3,5,0,2.17,1.30,P,cannojo02
218,Yennier Cano,30,BAL,AL,70,0,0,60.0,15,6,9,0,1,1.000,,,3,10,0,2.25,0.21,P,canoye01
219,Joey Cantillo,24,CLE,AL,9,8,0,38.2,2,0,2,0,0,1.000,,,-1,-5,-1,0.47,0.22,P,cantijo01
220,Dominic Canzone,26,SEA,AL,61,50,36,420.2,100,100,0,0,0,1.000,4,10,1,2,0,2.14,1.64,OF,canzodo01
221,Conner Capel,27,CIN,NL,1,1,0,6.0,2,2,0,0,0,1.000,1,124,0,0,0,3.00,2.00,OF,capelco01
222,Vinny Capra,27,MIL,NL,3,2,2,23.0,8,1,7,0,0,1.000,1,37,0,0,0,3.13,2.67,3B-SS,capravi01
223,Matt Carasiti,32,COL,NL,7,0,0,8.2,3,3,0,0,1,1.000,,,-1,-23,0,3.12,0.43,P,carasma01
224,Victor Caratini,30,HOU,AL,69,63,59,556.0,587,557,27,3,10,.995,0,0,3,6,1,9.45,8.46,C-1B,caratvi01
225,Dylan Carlson,25,TOT,ZZ,86,54,41,558.1,145,143,1,1,1,.993,-1,-2,-6,-12,-1,2.32,1.67,OF,carlsdy01
226,Kerry Carpenter,26,DET,AL,47,39,26,339.2,94,88,5,1,0,.989,-1,-3,1,3,1,2.46,1.98,OF,carpeke01
227,Matt Carpenter,38,STL,NL,6,1,0,14.0,13,11,2,0,1,1.000,0,33,1,86,0,8.36,1.86,1B-3B-2B,carpema01
228,Carlos Carrasco,37,CLE,AL,21,21,0,103.2,19,9,9,1,0,.947,,,1,2,0,1.56,0.86,P,carraca01
229,Corbin Carroll,23,ARI,NL,156,146,139,1317.0,366,358,6,2,2,.995,-11,-10,-3,-2,-1,2.49,2.33,OF,carroco02
230,Evan Carter,21,TEX,AL,41,38,29,331.0,77,73,3,1,1,.987,4,16,4,14,0,2.07,1.85,OF,carteev01
231,Curt Casali,35,SFG,NL,41,38,25,321.0,372,345,20,7,0,.981,-7,-25,-1,-4,-1,10.23,8.90,C,casalcu01
232,Triston Casas,24,BOS,AL,62,56,51,512.0,505,450,50,5,36,.990,-1,-3,-1,-2,1,8.79,8.20,1B,casastr01
233,Ben Casparius,25,LAD,NL,3,0,0,8.1,1,1,0,0,0,1.000,,,-1,-24,0,1.08,0.33,P,caspabe01
234,Humberto Castellanos,26,ARI,NL,7,0,0,10.1,1,1,0,0,0,1.000,,,0,0,0,0.87,0.14,P,castehu01
235,Nick Castellanos,32,PHI,NL,157,157,143,1363.2,269,263,3,3,0,.989,-2,-2,-11,-9,-2,1.76,1.69,OF,casteni01
236,Diego Castillo,30,MIN,AL,7,0,0,10.0,2,1,1,0,0,1.000,,,0,0,0,1.80,0.29,P,castidi01
237,Diego Castillo,26,MIN,AL,3,2,1,15.0,4,1,3,0,0,1.000,0,25,1,80,0,2.40,1.33,3B,castidi02
