Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
61,61,Jun 3,,STL,W7-4,9.0,8,4,4,0,3,9,3,0,4.26,38,164,110,0,0,1,0,35,1,0,0,0,0,0,0,5,Stu Scheurwater,J.Verlander (4-39) P.Mushinski (2) S.Martinez (2) R.Montero (0-W) J.Hader (1-Sv)
62,62,Jun 4,,STL,W8-5,9.0,11,5,5,0,5,7,3,0,4.27,43,166,110,2,0,1,0,38,2,0,0,0,0,0,0,6,Jordan Baker,S.Arrighetti (4-50) T.Scott (5-W) P.Mushinski (0) S.Martinez (0-H) B.Abreu (1-H) R.Pressly (1-Sv)
63,63,Jun 5,,STL,L2-4,9.0,5,4,4,0,2,4,1,0,4.27,34,136,94,0,0,0,0,30,2,0,0,1,1,0,0,3,Mark Carlson,R.Blanco (4-43-L) S.Dubin (19) N.Hernandez (99)
64,64,Jun 7,@,LAA,W7-1,9.0,4,1,1,0,1,8,1,0,4.22,31,106,71,,,0,0,30,1,0,0,0,0,0,1,1,Jonathan Parra,F.Valdez (5-82-W)
65,65,Jun 8,@,LAA,W6-1,9.0,6,1,1,0,7,9,1,1,4.17,41,174,100,1,0,3,0,33,0,0,0,0,0,0,0,5,Hunter Wendelstedt,H.Brown (5-71-W) R.Montero (4) B.Abreu (3-H) R.Pressly (3) T.Scott (3)
66,66,Jun 9,@,LAA,L7-9,8.1,13,9,9,0,2,8,1,3,4.25,42,182,114,2,1,4,1,35,3,0,0,0,2,1,1,6,John Tumpane,J.Verlander (5-40) S.Martinez (4-H) R.Montero (0-H) B.Abreu (0-H) R.Pressly (0-BSv) J.Hader (5-L)
67,67,Jun 10,@,SFG,L3-4,9.1,9,4,3,1,4,7,0,0,4.22,42,155,96,1,0,0,0,38,0,1,0,0,0,0,0,5,D.J. Reyburn,S.Arrighetti (5-60) S.Martinez (0) T.Scott (1) J.Hader (0) R.Montero (0-BL)
68,68,Jun 11,@,SFG,W3-1,9.0,3,1,1,0,2,12,1,0,4.18,32,142,86,0,0,0,0,30,1,0,0,0,0,0,0,4,John Libka,R.Blanco (5-69-W) T.Scott (0-H) B.Abreu (1-H) R.Pressly (1-Sv)
69,69,Jun 12,@,SFG,L3-5,8.0,10,5,5,0,3,7,0,1,4.20,38,132,84,0,0,1,0,32,2,0,0,0,2,1,1,3,James Hoye,F.Valdez (4-26-L) S.Martinez (1) S.Dubin (6)
70,70,Jun 14,,DET,W4-0,9.0,5,0,0,0,0,10,0,0,4.13,31,123,85,0,0,0,1,31,0,0,0,0,0,0,0,3,Roberto Ortiz,H.Brown (5-76-W) B.Abreu (2) J.Hader (3)
71,71,Jun 15,,DET,L5-13,9.0,19,13,12,1,6,11,5,1,4.25,53,212,132,2,0,2,0,46,2,0,0,0,0,1,0,6,Alfonso Márquez,S.Arrighetti (4-16-L) S.Dubin (2) N.Hernandez (9) S.Martinez (2) R.Montero (4) T.Scott (3)
72,72,Jun 16,,DET,W4-1,9.0,3,1,1,0,3,10,0,0,4.20,34,133,91,0,0,0,0,31,1,0,0,0,0,1,0,3,Lance Barrett,R.Blanco (4-82-W) R.Pressly (4) J.Hader (1)
73,73,Jun 18,@,CHW,L0-2,8.0,2,2,2,0,5,7,0,0,4.18,30,119,67,0,0,0,0,25,0,0,0,0,0,0,1,3,Derek Thomas,F.Valdez (5-60-L) T.Scott (2) R.Montero (2)
74,74,Jun 19,@,CHW,W4-1,9.0,8,1,1,0,1,9,1,0,4.13,35,128,87,0,0,1,0,34,0,0,0,0,0,0,1,4,Chris Conroy,H.Brown (4-60-W) B.Abreu (4-H) R.Pressly (2-H) J.Hader (2-Sv)
75,75,Jun 20,@,CHW,W5-3,9.0,6,3,3,0,5,9,0,1,4.12,37,142,90,2,1,1,0,30,1,0,0,0,1,0,2,5,Brennan Miller,S.Arrighetti (4-39) T.Scott (1-W) B.Abreu (0-H) R.Pressly (0-H) J.Hader (0-Sv)
76,76,Jun 21,,BAL,W14-11,9.0,18,11,11,0,2,7,4,0,4.21,46,198,128,0,0,3,0,43,2,0,0,0,1,0,1,6,Scott Barry,J.Bloss (99-42) S.Dubin (5-W) N.Hernandez (5) R.Montero (2) T.Scott (0-H) B.Abreu (0-Sv)
77,77,Jun 22,,BAL,W5-1,9.0,4,1,1,0,3,7,1,0,4.17,33,124,85,0,0,0,1,30,0,1,0,0,0,0,0,3,Bruce Dreckman,R.Blanco (5-66-W) R.Pressly (1-H) J.Hader (1)
78,78,Jun 23,,BAL,W8-1,9.0,7,1,1,0,2,8,1,0,4.13,36,125,84,0,0,0,0,34,1,0,0,0,0,0,0,3,Jeremie Rehak,F.Valdez (4-66-W) B.King (99) L.Contreras (99)
79,79,Jun 25,,COL,W5-2,9.0,6,2,2,0,4,11,1,1,4.10,37,155,96,2,0,1,0,32,0,0,0,0,0,0,1,5,Mark Carlson,H.Brown (5-72-W) T.Scott (3) S.Martinez (9) R.Pressly (2-H) J.Hader (2)
80,80,Jun 26,,COL,W7-1,9.0,4,1,1,0,1,14,0,0,4.06,32,132,95,0,0,0,0,30,3,0,0,0,1,0,0,3,Alex MacKay,S.Arrighetti (5-81-W) S.Dubin (4) B.King (2)
81,81,Jun 28,@,NYM,L2-7,8.0,9,7,4,3,5,7,3,1,4.07,39,158,102,2,0,1,1,32,2,0,0,0,1,1,0,5,Jim Wolf,R.Blanco (5-41-L) T.Scott (2) R.Montero (6) B.King (1) L.Contreras (4)
82,82,Jun 29,@,NYM,W9-6,9.0,9,6,3,3,4,10,1,0,4.05,41,167,111,1,0,2,0,37,3,0,0,0,0,0,1,5,Alan Porter,F.Valdez (5-32) T.Scott (0) S.Martinez (3-W) R.Pressly (3-H) J.Hader (3-Sv)
83,83,Jun 30,@,NYM,W10-5,11.0,5,5,4,1,7,8,1,0,4.04,45,167,103,1,0,0,0,38,3,0,1,0,0,0,0,7,,S.Dubin (3-59) B.King (1) S.Martinez (0) B.Abreu (8-BSv) R.Pressly (0) T.Scott (0-W) L.Contreras (1)
84,84,Jul 1,@,TOR,W3-1,9.0,4,1,1,0,4,7,1,1,4.00,36,137,86,0,0,1,0,31,1,0,0,0,0,0,0,4,CB Bucknor,H.Brown (5-70-W) R.Montero (2-H) B.Abreu (0-H) J.Hader (1-Sv)
85,85,Jul 2,@,TOR,L6-7,8.0,6,7,6,1,5,10,2,0,4.03,34,156,93,0,0,0,0,29,3,0,0,0,0,0,0,3,Adam Beck,S.Arrighetti (5-25-L) L.Contreras (1) S.Martinez (1)
86,86,Jul 3,@,TOR,W9-2,9.0,5,2,2,0,2,7,0,0,4.01,32,135,87,1,1,0,0,29,2,0,0,0,1,0,1,5,Dan Iassogna,R.Blanco (4-55) T.Scott (2-BW) B.Abreu (1) B.King (2) R.Montero (1)
87,87,Jul 4,@,TOR,W5-3,9.0,10,3,3,0,3,7,0,0,4.00,34,123,76,0,0,0,1,31,1,0,0,0,0,0,4,4,Ben May,F.Valdez (4-44-W) T.Scott (0-H) R.Pressly (3-H) J.Hader (2-Sv)
88,88,Jul 5,@,MIN,W13-12,9.0,17,12,12,0,4,9,2,1,4.09,48,164,104,4,3,0,0,42,5,0,0,1,0,0,1,7,Charlie Ramos,S.Dubin (4-37) S.Martinez (2) B.King (1-W) R.Montero (1-H) B.Abreu (1-H) L.Contreras (2) J.Hader (0-Sv)
89,89,Jul 6,@,MIN,L3-9,8.0,14,9,9,0,2,8,2,1,4.15,39,138,89,0,0,0,1,35,1,0,0,0,1,0,1,3,Doug Eddings,H.Brown (4-25-L) R.Montero (0) K.Ort (99)
90,90,Jul 7,@,MIN,L2-3,8.0,11,3,3,0,3,8,1,1,4.14,36,140,90,0,0,0,1,32,0,0,0,0,0,0,1,5,Ryan Additon,S.Arrighetti (4-49) B.King (1) B.Abreu (1) R.Pressly (2) J.Hader (1-L)
91,91,Jul 9,,MIA,W4-3,9.0,6,3,3,0,2,10,2,0,4.13,34,133,82,0,0,1,0,32,0,0,0,0,0,0,1,3,Nate Tomlinson,R.Blanco (5-67-W) B.Abreu (1-H) J.Hader (1-Sv)
92,92,Jul 10,,MIA,W9-1,9.0,6,1,1,0,1,14,0,0,4.10,31,120,82,0,0,0,0,30,0,0,0,0,0,0,3,2,Chris Segal,F.Valdez (5-70-W) K.Ort (3)
93,93,Jul 11,,MIA,W6-3,9.0,11,3,3,0,1,13,2,0,4.08,39,167,110,2,0,1,0,37,2,0,0,0,0,0,1,6,Larry Vanover,J.Bloss (19-49) S.Dubin (5) T.Scott (6-W) B.Abreu (1-H) R.Pressly (3-H) J.Hader (1-Sv)
94,94,Jul 12,,TEX,W6-3,9.0,7,3,3,0,3,10,1,1,4.07,36,139,80,0,0,1,0,32,0,0,0,0,0,0,2,4,Ryan Wills,H.Brown (5-57-W) B.Abreu (0) R.Pressly (0-H) J.Hader (0-Sv)
