Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
24,24,Apr 25,,CHW,W6-3,9.0,9,3,2,1,4,9,0,1,3.94,42,159,105,3,1,1,0,36,1,0,0,0,1,1,0,6,Nate Tomlinson,S.Woods Richardson (11-50) C.Sands (1-W) C.Thielbar (3-H) B.Stewart (0-H) S.Okert (1) G.Jax (0-Sv)
25,25,Apr 26,@,LAA,W5-3,9.0,5,3,3,0,6,10,0,0,3.90,37,138,83,3,2,0,1,31,2,0,0,0,0,0,0,3,Tripp Gibson,B.Ober (5-69-W) M.Bowman (1-H) C.Thielbar (0-Sv)
26,26,Apr 27,@,LAA,W16-5,9.0,11,5,5,0,2,5,1,0,3.95,39,162,100,0,0,0,0,36,1,0,0,0,1,0,0,3,Mark Carlson,C.Paddack (4-36-W) K.Funderburk (3) J.Jackson (3)
27,27,Apr 28,@,LAA,W11-5,9.0,6,5,5,0,1,14,2,1,3.99,35,157,102,2,0,0,0,33,2,0,0,0,0,0,0,4,Dan Merzel,P.López (4-50-W) C.Sands (2-H) G.Jax (2-H) S.Okert (2)
28,28,Apr 29,@,CHW,W3-2,9.0,8,2,2,0,3,8,0,0,3.91,36,142,96,0,0,0,0,32,1,0,0,1,0,0,2,4,Jonathan Parra,J.Ryan (4-54) B.Stewart (3) G.Jax (0-W) C.Thielbar (2-Sv)
29,29,Apr 30,@,CHW,W6-5,9.0,12,5,4,1,2,6,2,0,3.92,41,155,101,4,1,1,0,39,3,0,0,0,0,1,0,6,John Libka,S.Woods Richardson (4-41) K.Funderburk (2) J.Jackson (2) C.Sands (1-BSv) C.Thielbar (0-W) J.Durán (99-Sv)
30,30,May 1,@,CHW,W10-5,9.0,7,5,5,0,0,4,2,0,3.95,33,114,80,0,0,0,0,33,3,0,0,0,0,0,1,4,James Hoye,B.Ober (4-47-W) B.Stewart (1-H) G.Jax (1-H) S.Okert (2)
31,31,May 3,,BOS,W5-2,9.0,4,2,2,0,1,13,0,1,3.89,33,124,87,2,2,0,1,31,2,0,0,0,0,1,0,5,Emil Jimenez,C.Paddack (5-73-W) G.Jax (1-H) C.Sands (2) C.Thielbar (2) J.Durán (2-Sv)
32,32,May 4,,BOS,W3-1,9.0,8,1,1,0,3,12,0,0,3.80,36,158,95,2,0,1,0,33,1,0,0,0,0,0,1,5,Lance Barksdale,P.López (5-65-W) J.Alcalá (20-H) S.Okert (2-H) J.Durán (0-H) C.Sands (0-Sv)
33,33,May 5,,BOS,L2-9,9.0,11,9,9,0,3,8,2,0,3.96,41,172,111,1,0,1,0,37,5,1,0,1,0,0,0,3,Angel Hernandez,J.Ryan (5-56-L) K.Funderburk (4) J.Jackson (4)
34,34,May 6,,SEA,W3-1,9.0,3,1,1,0,2,14,0,0,3.87,32,138,87,0,0,0,0,29,0,0,0,0,1,0,0,4,Chris Segal,S.Woods Richardson (5-77) G.Jax (2-BW) J.Durán (1-H) C.Thielbar (2-Sv)
35,35,May 7,,SEA,L6-10,9.0,10,10,10,0,5,11,2,2,4.05,43,181,114,3,3,1,0,35,1,1,0,0,1,0,1,5,Larry Vanover,B.Ober (5-59) C.Sands (2-H) J.Jackson (1-H) S.Okert (2-BSv) J.Alcalá (2-L)
36,36,May 8,,SEA,W6-3,9.0,10,3,3,0,2,13,1,0,4.02,39,157,111,2,1,1,0,37,1,0,0,0,0,0,0,4,David Rackley,C.Paddack (4-57-W) C.Thielbar (1-H) G.Jax (1-H) J.Durán (1-Sv)
