Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,Name-additional
Brock Stewart,32,6,Free Agency,2.093,Sterling Sports M...,1 yr/$900k (24),$900k,Arb,Arb,Arb,FA,,,,,stewabr01
Jorge Alcalá,28,6,Traded,4.014,Optimum Baseball ...,1 yr/$845k (24) & 25 team option,$790k,$55k [Arb-*],FA,,,,,,,alcaljo01
Bailey Ober,28,4,Amateur Draft,2.093,,1 yr/$762k (24),$761.85k,Arb,Arb,Arb,FA,,,,,oberba01
Griffin Jax,29,4,Amateur Draft,2.091,PSI Sports Manage...,1 yr/$762k (24),$761.75k,Arb,Arb,Arb,FA,,,,,jaxgr01
Joe Ryan,28,4,Traded,2.033,,1 yr/$759k (24),$758.85k,Arb,Arb,Arb,FA,,,,,ryanjo04
Josh Winder,27,3,Amateur Draft,1.065,,1 yr/$752k (24),$751.85k,Pre-Arb,Arb,Arb,Arb,FA,,,,windejo01
Cole Sands,26,3,Amateur Draft,1.017,,1 yr/$749k (24),$749.45k,Pre-Arb,Arb,Arb,Arb,FA,,,,sandsco01
Jhoan Durán,26,3,Traded,2.000,Nova Sports Agenc...,1 yr/$747k (24),$747.2k,Arb,Arb,Arb,FA,,,,,duranjh01
Edouard Julien,25,2,Amateur Draft,0.135,,1 yr/$747k (24),$746.75k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,julieed01
Royce Lewis,25,3,Amateur Draft,1.142,,1 yr/$746k (24),$745.7k,Pre-Arb,Arb,Arb,Arb,FA,,,,lewisro02
Matt Wallner,26,3,Amateur Draft,0.111,,1 yr/$746k (24),$745.55k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,wallnma01
Louie Varland,26,3,Amateur Draft,0.108,Nello P. Gamberdi...,1 yr/$745k (24),$745.4k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,varlalo01
Zack Weiss,32,3,,0.091,,1 yr/$745k (24),$744.55k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,weissza01
Trevor Larnach,27,4,Amateur Draft,2.014,Beverly Hills Spo...,1 yr/$740k (24),$740k,Arb,Arb,Arb,FA,,,,,larnatr01
José Miranda,26,3,Amateur Draft,1.118,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,miranjo01
Daniel Duarte,27,3,Waivers,1.087,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,duartda01
Brent Headrick,26,2,Amateur Draft,0.066,C.L. Rocks Corpor...,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,headrbr01
Ronny Henriquez,24,2,Free Agency,0.061,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,henriro01
Kody Funderburk,27,2,Amateur Draft,0.035,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,fundeko01
Simeon Woods Richardson,23,3,Traded,0.006,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,woodssi01
Caleb Boushley,30,2,Free Agency,0.003,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,boushca01
Diego Castillo,30,7,Free Agency,4.150,,,Arb,,FA,,,,,,,castidi01
Jeff Brigham,32,5,,3.142,CAA Sports,,Arb (~$1.1M),,Arb,FA,,,,,,brighje01
Jovani Morán,27,3,Free Agency,1.090,MDR Sports Manage...,,,,Arb,Arb,Arb,FA,,,,moranjo01
Diego Castillo,26,3,Purchased,0.140,,,,,,Arb,Arb,Arb,FA,,,castidi02
Hobie Harris,31,1st,,0.055,Gaeta Sports Mana...,,,,,Arb,Arb,Arb,FA,,,harriho02
Rylan Bannon,28,2,,0.049,,,,,,Arb,Arb,Arb,FA,,,bannory01
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*40,6,3,3,2,,,,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$151.4M,$97.3M,$70.7M,$68.7M,$46.5M,,,,,-9999
,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,3,1,1,1,1,1,1,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$20M,$6M,$7M,$8.5M,$25M,$20M,$15M,$10M,-9999
,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-11-0,0-0-17-0,0-0-25-0,0-0-18-0,0-0-12-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$1.1M,$62.3M,$96.3M,$141.7M,$102M,$68M,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,8,5,-3,5,13,25,25,25,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$6.01M,$3.76M,-$2.26M,$3.76M,$9.77M,$18.79M,$18.79M,$18.79M,-9999
,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$165.6M,$170.8M,$208.1M,$152.2M,$77.8M,$18.79M,$18.79M,$18.79M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$183.4M,$176.1M,$214.4M,$160M,$102M,$38M,$33M,$28.04M,-9999
