Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Name-additional
Jackson Kowar,27,3,,0.163,,1 yr/$743k (24),$743k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,,kowarja01
Emerson Hancock,25,2,Amateur Draft,0.054,,1 yr/$741k (24),$741.3k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,hancoem01
Nick Solak,29,5,,2.131,CAA Sports,,,,Arb,Arb,FA,,,,,,,solakni01
Michael Mariot,35,4,,1.065,Arland Sports,,,,Arb,Arb,Arb,FA,,,,,,mariomi01
Casey Lawrence,36,4,Waivers,1.064,Big League Manage...,,,,Arb,Arb,Arb,FA,,,,,,lawreca01
Joey Krehbiel,31,4,,1.062,Greenline Sports ...,,,,Arb,Arb,Arb,FA,,,,,,krehbjo01
Trevor Kelley,31,4,,1.026,C.L. Rocks Corpor...,,,,Arb,Arb,Arb,FA,,,,,,kelletr01
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*42,7,4,2,1,1,,,,,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$158.5M,$79.2M,$62.5M,$44.8M,$20.19M,$20.19M,,,,,,-9999
,,,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,3,2,2,2,,1,1,1,1,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$29.5M,$18M,$17M,$35M,,$18M,$18M,$18M,$18M,$18M,-9999
,,,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-15-0,0-0-24-0,0-0-27-0,0-0-20-0,0-0-12-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),,$85M,$136M,$153M,$113.3M,$68M,$0,$0,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,3,-3,-4,4,12,25,25,25,25,25,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$2.26M,-$2.26M,-$3.01M,$3.01M,$9.02M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,-9999
,,,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$166.4M,$196.2M,$194.8M,$136.5M,$97.2M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$193.7M,$212.7M,$210.3M,$170M,$97.2M,$36M,$36M,$36M,$36M,$36M,-9999
