Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,Name-additional
Nick Loftin,25,2,Amateur Draft,0.031,,1 yr/$742k (24),$741.9k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,,loftini01
Daniel Lynch IV,27,4,Amateur Draft,2.083,The Bledsoe Agenc...,1 yr/$740k (24),$740k,Arb,Arb,Arb,FA,,,,,,,,,,lynchda02
Sam Long,28,4,Free Agency,1.160,,1 yr/$740k (24),$740k,Arb,Arb,Arb,Arb,FA,,,,,,,,,longsa01
Nick Pratto,25,3,Amateur Draft,1.067,Wasserman,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,,,prattni01
Drew Waters,25,3,Traded,1.045,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,,,waterdr01
Steven Cruz,25,2,Traded,0.034,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,,cruzst01
Jonathan Bowlan,27,2,Amateur Draft,0.013,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,,bowlajo01
Robbie Grossman,34,12,Waivers,9.060,Lagardere Sports,,FA,,,,,,,,,,,,,,grossro01
Tommy Pham,36,11,Waivers,8.107,Vayner Sports,,FA,,,,,,,,,,,,,,phamth01
Yuli Gurriel,40,9,Traded,7.043,Wasserman,,FA,,,,,,,,,,,,,,gourryu01
Dinelson Lamet,31,7,,5.160,MVP Sports Group,,Arb,,,,,,,,,,,,,,lametdi01
Nate Eaton,27,2,Amateur Draft,0.125,Gaeta Sports Mana...,,,,,Arb,Arb,Arb,FA,,,,,,,,eatonna01
Austin Cox,27,1st,Free Agency,0.104,,,,,,Arb,Arb,Arb,FA,,,,,,,,coxau01
Brian O'Keefe,30,2,,0.053,,,,,,Arb,Arb,Arb,FA,,,,,,,,okeefbr01
Josh Lester,29,2,,0.027,,,,,,Arb,Arb,Arb,FA,,,,,,,,lestejo02
Ricky Karcher,26,1st,,0.005,,,,,,Arb,Arb,Arb,FA,,,,,,,,karchri01
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*40,4,1,1,1,1,1,,,,,,,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$109.8M,$50.2M,$16.11M,$20.11M,$31.1M,$36.1M,$36.1M,,,,,,,,-9999
,,,,,,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,4,2,,,,,1,1,1,1,1,1,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$36.5M,$28.5M,,,,,$35M,$35M,$35M,$35M,$33M,$28M,$28M,-9999
,,,,,,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-12-0,0-0-20-0,0-0-26-0,0-0-23-0,0-0-14-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),,$68M,$113.3M,$147.3M,$130.3M,$79.3M,$0,$0,$0,$0,$0,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,9,4,-2,1,10,24,25,25,25,25,25,25,25,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$6.77M,$3.01M,-$1.5M,$751.74k,$7.52M,$18.04M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,-9999
,,,,,,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$124.9M,$132.4M,$165.9M,$162.2M,$123M,$54.2M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,$18.79M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$158.4M,$159.4M,$165.9M,$162.2M,$123M,$54.2M,$53M,$53M,$53M,$53M,$51M,$46M,$46M,-9999
