Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Giancarlo Stanton,34,109,109,,,,,,,,,,,,,,,,,,,,,,,DH,stantmi03
Marcus Stroman,33,30,29,0,154.2,32,13,18,1,1,0.969,,,-2,-3,0,1.8,1.03,,,25,5,0.17,0.22,0,P,stromma01
Michael Tonkin,34,39,0,0,56,7,1,6,0,1,1,,,1,4,0,1.13,0.18,,,4,1,0.20,0.22,0,P,tonkimi01
Gleyber Torres,27,153,152,144,1342.2,582,234,330,18,74,0.969,-9,-8,-11,-10,-2,3.78,3.69,,,,,,,,2B,torregl01
Taylor Trammell,26,4,0,0,9.1,1,1,0,0,0,1,0,-13,-1,-129,0,0.96,0.2,,,,,,,,RF-LF-DH,trammta01
Jose Trevino,31,72,62,48,546.1,580,552,22,6,2,0.99,1,2,9,20,3,9.46,7.86,5,15,57,13,0.19,0.22,1,C-P,trevijo01
Alex Verdugo,28,149,145,134,1308.2,293,285,7,1,1,0.997,7,6,7,6,1,2.01,1.85,,,,,,,,LF-RF-CF,verdual01
Anthony Volpe,23,160,158,156,1416.2,570,210,344,16,68,0.972,4,4,6,5,0,3.52,3.46,,,,,,,,SS,volpean01
Will Warren,25,6,5,0,22.2,1,1,0,0,0,1,,,0,0,0,0.4,0.17,,,1,2,0.67,0.22,0,P,warrewi01
Luke Weaver,30,62,0,0,84,9,2,5,2,0,0.778,,,0,0,0,0.75,0.11,,,1,2,0.67,0.22,1,P,weavelu01
Austin Wells,24,110,96,85,872.1,936,892,33,11,5,0.988,6,9,11,15,1,9.54,8.26,5,24,64,22,0.26,0.22,3,C-DH,wellsau01
Infield Shifts,,,,,,,,,,,,,,17,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,7,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Team Totals,28.4,162,1458,1153,13074,5771,4358,1320,93,112,0.984,7,1,31,,,3.91,2.69,10,39,122,36,0.23,0.22,17,,-9999
Rank in 15 AL teams,,,,,,,,,13,,10,,,,,,,,,,,,,,,,-9999
