Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Buddy Kennedy,25,3,Purchased,0.096,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,kennebu01
Weston Wilson,29,2,Free Agency,0.020,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,wilsowe01
Jordan Luplow,30,7,,5.025,MVP Sports Group,,Arb (~$1.6M),,,,,,,,,,luplojo01
David Dahl,30,7,Free Agency,4.166,Excel Sports Mana...,,Arb,,FA,,,,,,,,dahlda01
José Ruiz,29,8,Free Agency,3.170,,,Arb,,Arb,FA,,,,,,,ruizjo01
José Cuas,30,3,,1.129,,,,,Arb,Arb,Arb,FA,,,,,cuasjo01
Nick Nelson,28,5,Traded,2.085,Beverly Hills Spo...,,,,Arb,Arb,FA,,,,,,nelsoni01
Tyler Gilbert,30,4,Purchased,1.032,Ballengee Group,,,,Arb,Arb,Arb,FA,,,,,gilbety01
Andrew Bellatti,32,4,Free Agency,2.026,,,,,Arb,Arb,FA,,,,,,bellaan01
Cal Stevenson,27,3,Waivers,0.036,,,,,,Arb,Arb,Arb,FA,,,,steveca01
,,,,,,,,,,,,,,,,,-9999
,Scott Kingery buyout,Scott Kingery buyout,Scott Kingery buyout,Scott Kingery buyout,Scott Kingery buyout,Scott Kingery buyout,$1M,,,,,,,,,,-9999
,José Rodriguez suspended,José Rodriguez suspended,José Rodriguez suspended,José Rodriguez suspended,José Rodriguez suspended,José Rodriguez suspended,-$701.1k,,,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*37,11,7,5,4,3,3,2,1,1,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$245M,$221.8M,$163.4M,$127.9M,$88.9M,$76.4M,$75.4M,$50.8M,$27.27M,$27.27M,-9999
,,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,,2,,,1,1,,,,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,,$13.5M,,,$14M,$15M,,,,-9999
,,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-10-0,0-0-20-0,0-0-21-0,0-0-16-0,0-0-8-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$1.6M,$56.7M,$113.3M,$119M,$90.7M,$45.3M,$0,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,4,-2,-1,5,14,22,23,24,24,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$3.01M,-$1.5M,-$751.74k,$3.76M,$10.52M,$16.54M,$17.29M,$18.04M,$18.04M,-9999
,,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$281.4M,$275.2M,$246.1M,$183.3M,$132.2M,$91.9M,$68.1M,$45.3M,$45.3M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$281.4M,$287.2M,$246.1M,$183.3M,$145.5M,$106.2M,$68.1M,$45.3M,$45.3M,-9999
