Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
123,123,Aug 17,@,NYM,L0-4,32,30,0,4,3,0,0,0,1,0,8,1,0,0,0,0,0,0,.237,.292,.365,.658,5,9,R,L.Severino(86)
124,124,Aug 18,@,NYM,W3-2,36,31,3,8,0,1,0,2,4,0,7,0,0,1,0,0,1,0,.237,.293,.365,.658,6,10,R,P.Blackburn(63)
125,125,Aug 19,,ARI,L6-9,39,35,6,12,2,0,1,6,2,0,7,1,0,1,0,2,0,1,.238,.294,.366,.659,6,9,R,B.Pfaadt(36)
126,126,Aug 20,,ARI,L1-3,36,34,1,7,5,0,0,1,2,0,9,0,0,0,0,0,0,0,.238,.293,.366,.659,8,11,L,E.Rodríguez(56)
127,127,Aug 21,,ARI,L8-10,44,39,8,14,4,1,2,7,2,1,10,1,2,0,0,0,4,0,.239,.294,.368,.663,9,13,L,J.Montgomery(28)
128,128,Aug 23,,CHC,L3-6,40,33,3,8,2,0,0,3,6,0,6,1,0,0,0,0,2,2,.239,.295,.368,.663,10,10,R,K.Hendricks(36)
129,129,Aug 24,,CHC,L2-14,33,31,2,4,0,0,2,2,2,0,5,0,0,0,0,0,0,0,.238,.294,.368,.662,4,10,L,S.Imanaga(62)
130,130,Aug 25,,CHC,W7-2,35,33,7,11,5,0,2,7,1,0,3,0,0,1,0,0,0,1,.239,.294,.370,.664,4,10,R,J.Assad(55)
131,131,Aug 26,@,COL,L2-3,37,34,2,9,0,0,0,2,3,0,8,0,0,0,0,1,0,0,.239,.295,.369,.664,8,10,R,R.Feltner(45)
132,132,Aug 27,@,COL,W9-8,42,35,9,12,4,2,2,9,6,0,5,0,0,1,0,3,0,0,.240,.296,.372,.668,6,13,R,C.Quantrill(36)
133,133,Aug 28,@,COL,L2-8,36,34,2,8,1,0,1,2,2,0,10,0,0,0,0,1,1,0,.240,.296,.372,.668,7,11,L,K.Freeland(56)
134,134,Aug 29,@,COL,W12-8,50,45,12,18,4,0,2,10,4,0,7,1,0,0,1,1,4,0,.241,.297,.374,.672,11,10,R,B.Blalock(20)
135,135,Aug 30,@,SFG,L1-3,32,31,1,4,1,0,0,1,1,0,10,0,0,0,0,0,1,0,.240,.296,.373,.669,4,10,L,B.Snell(72)
136,136,Aug 31,@,SFG,W4-3,33,32,4,7,0,0,2,4,1,0,11,0,0,0,0,1,1,1,.240,.296,.373,.669,2,10,R,M.Black(57)
137,137,Sep 1,@,SFG,W7-5,38,35,7,10,1,0,1,7,1,0,7,0,1,1,0,0,1,0,.241,.296,.373,.669,4,10,R,L.Webb(36)
138,138,Sep 3,,WSN,L2-6,37,33,2,8,3,0,0,2,4,0,13,0,0,0,0,2,1,0,.241,.296,.373,.669,8,11,L,P.Corbin(52)
139,139,Sep 4,,WSN,W4-3,37,35,4,7,2,0,0,4,2,0,13,0,0,0,0,0,0,0,.240,.296,.372,.668,6,11,L,M.Gore(74)
140,140,Sep 5,,PHI,L2-5,36,34,2,7,2,0,0,1,2,0,9,0,0,0,1,0,0,0,.240,.296,.371,.667,7,11,L,R.Suárez(63)
141,141,Sep 6,,PHI,L2-16,36,32,2,5,1,0,0,2,3,0,13,1,0,0,0,0,0,0,.239,.295,.370,.666,7,12,R,Z.Wheeler(70)
142,142,Sep 7,,PHI,W9-5,43,39,9,14,3,0,3,7,4,0,9,0,0,0,0,0,3,0,.240,.296,.373,.669,10,11,R,A.Nola(31)
143,143,Sep 8,,PHI,W10-1,36,31,10,11,2,0,2,10,4,0,4,0,0,1,0,3,1,0,.241,.297,.374,.671,2,11,R,S.Johnson(2)
144,144,Sep 9,@,PIT,L2-3,36,34,2,8,2,0,0,2,2,0,14,0,0,0,1,2,0,0,.241,.297,.374,.671,7,11,R,P.Skenes(64)
145,145,Sep 10,@,PIT,L4-6,40,35,4,9,2,0,0,4,4,0,9,0,0,1,0,0,0,0,.241,.297,.373,.670,9,10,R,C.Mlodzinski(57)
146,146,Sep 11,@,PIT,L1-3,35,31,1,6,1,0,0,1,3,0,7,1,0,0,0,1,1,0,.241,.297,.372,.669,7,12,L,B.Falter(76)
147,147,Sep 12,@,WSN,W6-3,38,33,6,8,1,0,0,5,1,0,6,1,1,2,1,1,1,0,.241,.297,.372,.669,5,11,L,M.Parker(68)
148,148,Sep 13,@,WSN,L1-4,35,34,1,8,0,0,1,1,1,0,6,0,0,0,0,1,0,0,.241,.297,.371,.668,7,12,L,D.Herz(59)
149,149,Sep 14,@,WSN,L1-4,33,32,1,6,2,0,0,1,1,0,11,0,0,0,1,1,1,1,.241,.296,.370,.667,5,11,L,P.Corbin(67)
150,150,Sep 15,@,WSN,L3-4,35,32,3,6,0,0,1,3,2,0,9,0,0,1,2,1,1,1,.240,.296,.370,.666,5,13,L,M.Gore(69)
151,151,Sep 17,,LAD,W11-9,42,38,11,15,5,1,2,11,4,0,7,0,0,0,0,0,1,1,.241,.297,.373,.670,7,10,R,B.Miller(27)
