Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
29,29,Apr 28,,WSN,L9-12,9.0,14,12,12,0,4,9,2,3,5.01,49,193,130,1,1,4,0,42,3,0,0,0,0,1,0,6,Mark Wegner,R.Weathers (5-28) A.Bender (4-L) B.Smith (1) E.Ramirez (99) B.Hoeing (1) D.Cronin (0)
30,30,Apr 29,,WSN,L2-7,9.0,7,7,3,4,4,3,1,1,4.94,39,148,90,4,3,4,1,34,3,0,1,0,0,1,0,6,Tom Hanahan,T.Rogers (5-47-L) A.Maldonado (2) C.Faucher (2) A.Nardi (2) E.Ramirez (0) T.Scott (4)
31,31,Apr 30,,COL,W7-6,10.0,9,6,5,1,2,13,1,0,4.92,41,154,110,0,0,0,0,38,3,0,1,1,0,0,0,6,Jansen Visconti,S.Sánchez (5-31) B.Smith (1) D.Cronin (1) A.Bender (1) E.Ramirez (0) T.Scott (0-W)
32,32,May 1,,COL,W4-1,9.0,4,1,1,0,3,8,0,0,4.80,34,129,87,1,0,0,0,31,1,0,0,0,0,0,0,4,Edwin Moscoso,R.Muñoz (10-67-W) B.Hoeing (2-H) T.Scott (0-H) A.Maldonado (1-Sv)
33,33,May 2,,COL,W5-4,10.0,5,4,4,0,6,16,1,1,4.76,40,168,105,3,1,1,1,32,0,0,1,1,0,0,1,6,Andy Fletcher,E.Cabrera (4-45) C.Faucher (2) A.Nardi (2) A.Bender (1) A.Maldonado (0) B.Smith (1-W)
34,34,May 3,@,OAK,L1-3,8.0,5,3,3,0,0,9,1,1,4.72,30,120,84,0,0,0,0,28,2,0,0,1,0,0,0,2,Brian Knight,R.Weathers (4-55-L) D.Cronin (2)
35,35,May 4,@,OAK,L4-20,8.0,21,20,20,0,6,3,6,3,5.18,54,185,109,1,1,0,0,45,1,1,0,0,0,1,1,3,Ryan Additon,T.Rogers (4-7-L) D.McCaughan (99) E.Rivera (99)
36,36,May 5,@,OAK,W12-3,9.0,5,3,3,0,5,7,0,0,5.12,37,153,90,0,0,0,0,32,1,0,0,0,0,0,1,6,Chris Guccione,S.Sánchez (4-47) B.Smith (2-W) A.Nardi (2) A.Bender (2) C.Faucher (2) E.Villalobos (99)
37,37,May 6,@,LAD,L3-6,8.0,9,6,6,0,5,6,4,0,5.16,37,143,87,1,0,2,0,32,0,0,0,0,0,0,1,4,Mark Ripperger,R.Muñoz (4-27-L) E.Villalobos (0) D.Cronin (2) A.Maldonado (3)
38,38,May 7,@,LAD,L2-8,8.0,5,8,8,0,5,9,2,2,5.25,35,144,88,0,0,0,0,27,1,0,0,0,1,0,1,5,Roberto Ortiz,E.Cabrera (4-35-L) G.Soriano (21) B.Smith (1) A.Bender (1) T.Scott (5)
