Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
85,85,Jul 2,@,NYY,W5-4,38,32,5,5,1,1,2,5,4,0,8,2,0,0,0,0,0,0,.228,.304,.377,.682,6,9,R,L.Gil(42)
86,86,Jul 3,@,NYY,W3-2,33,30,3,3,0,0,2,3,3,0,13,0,0,0,0,0,1,0,.227,.303,.376,.680,3,9,L,C.Rodón(56)
87,87,Jul 4,@,NYY,W8-4,40,36,8,9,0,1,3,8,3,0,10,1,0,0,0,0,2,0,.227,.303,.379,.682,5,12,R,M.Stroman(41)
88,88,Jul 5,,DET,L4-5,35,33,4,7,0,1,1,3,2,0,11,0,0,0,0,1,2,0,.227,.303,.378,.681,4,11,R,R.Olson(63)
89,89,Jul 6,,DET,L3-5,35,32,3,6,2,0,1,3,3,0,13,0,0,0,0,0,0,1,.226,.302,.378,.681,5,12,R,A.Faedo(56)
90,90,Jul 7,,DET,L1-5,32,32,1,4,3,0,0,1,0,0,15,0,0,0,1,0,0,0,.225,.301,.376,.677,4,10,L,T.Skubal(80)
91,91,Jul 8,,COL,W6-0,34,30,6,8,2,0,1,4,4,0,9,0,0,0,0,2,2,1,.226,.301,.377,.678,4,10,R,R.Feltner(66)
92,92,Jul 9,,COL,W12-6,43,36,12,13,5,1,4,11,5,0,8,1,0,1,0,0,0,0,.227,.303,.383,.686,7,9,R,C.Quantrill(31)
93,93,Jul 10,,COL,L5-6,38,36,5,12,2,0,2,5,1,0,11,0,0,1,0,1,1,0,.228,.304,.385,.689,6,12,L,K.Freeland(58)
94,94,Jul 11,,COL,W8-1,40,38,8,14,5,0,3,8,1,0,6,1,0,0,0,0,2,0,.230,.305,.389,.694,8,9,L,A.Gomber(41)
95,95,Jul 12,,MIA,W7-4,40,34,7,11,2,0,3,7,5,1,3,1,0,0,1,0,1,0,.231,.306,.392,.698,9,9,R,Y.Chirinos(22)
