Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
11,,Josh Winckowski,26,4,2,.667,4.14,40,6,16,0,0,2,76.0,81,44,35,10,26,3,60,4,0,1,336,103,4.48,1.408,9.6,1.2,3.1,7.1,2.31,winckjo01
12,,Justin Slaten,26,6,2,.750,2.93,44,0,8,0,0,2,55.1,47,21,18,4,9,0,58,2,0,4,224,146,2.61,1.012,7.6,0.7,1.5,9.4,6.44,slateju01
13,,Chase Anderson,36,0,2,.000,4.85,27,1,22,0,0,3,52.0,46,34,28,10,19,1,35,3,0,2,224,89,5.59,1.250,8.0,1.7,3.3,6.1,1.84,anderch01
14,,Cam Booser*,32,2,3,.400,3.38,43,0,7,0,0,1,42.2,41,17,16,5,16,1,43,0,0,0,183,127,3.80,1.336,8.6,1.1,3.4,9.1,2.69,booseca01
15,,Brad Keller,28,0,2,.000,5.84,11,0,6,0,0,1,24.2,31,18,16,4,9,0,19,2,0,1,116,74,5.07,1.622,11.3,1.5,3.3,6.9,2.11,kellebr01
16,,Richard Fitts,24,0,1,.000,1.74,4,4,0,0,0,0,20.2,19,6,4,0,7,0,9,0,0,1,85,249,3.31,1.258,8.3,0.0,3.0,3.9,1.29,fittsri01
17,,Garrett Whitlock,28,1,0,1.000,1.96,4,4,0,0,0,0,18.1,14,4,4,1,7,0,17,1,0,0,75,221,3.33,1.145,6.9,0.5,3.4,8.3,2.43,whitlga01
18,,Bailey Horn*,26,1,1,.500,6.50,18,0,3,0,0,0,18.0,22,14,13,5,10,2,13,0,0,0,88,67,7.00,1.778,11.0,2.5,5.0,6.5,1.30,hornba01
19,,Luis García,37,0,0,,8.22,15,0,2,0,0,0,15.1,24,15,14,4,1,1,13,0,0,0,72,53,5.06,1.630,14.1,2.3,0.6,7.6,13.00,garcilu03
20,,Lucas Sims,30,0,2,.000,6.43,15,0,1,0,0,0,14.0,11,10,10,2,10,0,9,1,0,1,61,68,6.10,1.500,7.1,1.3,6.4,5.8,0.90,simslu01
21,,Joely Rodríguez*,32,0,1,.000,5.93,14,0,2,0,0,0,13.2,19,13,9,3,2,0,12,1,0,1,64,74,4.92,1.537,12.5,2.0,1.3,7.9,6.00,rodrijo06
22,,James Paxton*,35,1,1,.500,4.09,3,3,0,0,0,0,11.0,13,8,5,1,2,0,9,0,0,0,47,108,3.26,1.364,10.6,0.8,1.6,7.4,4.50,paxtoja01
23,,Luis Guerrero,23,0,0,,0.00,9,0,2,0,0,0,10.0,6,1,0,0,2,0,9,0,0,0,36,,1.97,0.800,5.4,0.0,1.8,8.1,4.50,guerrlu01
24,,Chase Shugart,27,0,0,,4.15,6,0,4,0,0,1,8.2,8,4,4,1,3,0,8,0,0,0,36,107,3.86,1.269,8.3,1.0,3.1,8.3,2.67,shugach01
25,,Isaiah Campbell,26,0,1,.000,16.20,8,0,1,0,0,0,6.2,14,13,12,3,2,0,6,0,0,1,37,28,8.12,2.400,18.9,4.1,2.7,8.1,3.00,campbis01
26,,Quinn Priester,23,1,0,1.000,1.80,1,1,0,0,0,0,5.0,4,1,1,0,1,0,2,1,0,0,20,254,3.57,1.000,7.2,0.0,1.8,3.6,2.00,priesqu01
27,,Naoyuki Uwasawa,30,0,0,,2.25,2,0,2,0,0,0,4.0,2,1,1,0,2,0,3,0,0,0,16,206,3.17,1.000,4.5,0.0,4.5,6.8,1.50,uwasana01
28,,Zach Penrod*,27,0,0,,2.25,7,0,0,0,0,0,4.0,3,2,1,0,4,0,3,1,0,1,20,206,5.42,1.750,6.8,0.0,9.0,6.8,0.75,penroza01
29,,Rich Hill*,44,0,1,.000,4.91,4,0,1,0,0,0,3.2,1,2,2,1,3,0,5,1,0,0,15,95,7.26,1.091,2.5,2.5,7.4,12.3,1.67,hillri01
30,,Dominic Smith*,29,0,0,,0.00,3,0,3,0,0,0,3.0,2,0,0,0,1,0,0,0,0,0,11,,4.17,1.000,6.0,0.0,3.0,0.0,0.00,smithdo02
31,,Trey Wingenter,30,0,0,,27.00,2,0,1,0,0,0,2.1,5,7,7,1,2,0,3,0,0,1,14,18,8.74,3.000,19.3,3.9,7.7,11.6,1.50,wingetr01
32,,Joe Jacques*,29,0,0,,5.40,1,0,0,0,0,0,1.2,3,1,1,0,0,0,2,1,0,1,9,96,2.57,1.800,16.2,0.0,0.0,10.8,,jacqujo01
33,,Yohan Ramírez,29,0,0,,13.50,1,0,0,0,0,0,1.1,3,3,2,0,0,0,1,2,0,1,9,40,6.17,2.250,20.3,0.0,0.0,6.8,,ramiryo01
34,,Pablo Reyes,30,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.17,2.000,9.0,0.0,9.0,0.0,0.00,reyespa01
,,Team Totals,29.1,81,81,.500,4.04,162,162,161,1,1,40,1452.2,1363,747,652,189,461,26,1353,76,4,49,6154,106,4.10,1.256,8.4,1.2,2.9,8.4,2.93,-9999
,,Rank in 15 AL teams,,9,7,,9,,,,4,3,9,1,13,12,9,9,5,,11,,,,,,,,,,,,,-9999
