Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
50,P,Joely Rodríguez*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,rodrijo06
51,P,Tanner Houck,28,0,0,,,,,,,,,,,,,,,,,,,,,,,houckta01
52,P,Bailey Horn*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,hornba01
53,P,Brennan Bernardino*,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,bernabr01
54,P,Joe Jacques*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,jacqujo01
55,P,Lucas Sims,30,0,0,,,,,,,,,,,,,,,,,,,,,,,simslu01
56,P,Luis Guerrero,23,0,0,,,,,,,,,,,,,,,,,,,,,,,guerrlu01
57,P,Cooper Criswell,27,0,0,,,,,,,,,,,,,,,,,,,,,,,criswco01
,,Team Totals,27.4,162,6192,5577,751,1404,311,30,194,724,144,44,493,1570,.252,.319,.423,.741,104,2357,110,73,7,40,30,-9999
,,Rank in 15 AL teams,,,,1,3,2,1,4,4,,3,12,4,14,2,3,3,3,,2,,7,,9,,-9999
