Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
88,88,Jul 5,@,NYY,W5-3,41,39,5,8,2,0,3,5,2,1,12,0,0,0,0,0,0,0,.252,.321,.418,.740,7,12,L,N.Cortés(69)
89,89,Jul 6,@,NYY,L4-14,38,36,4,8,1,0,1,4,2,0,13,0,0,0,1,0,1,0,.251,.321,.417,.738,7,12,R,G.Cole(39)
90,90,Jul 7,@,NYY,W3-0,33,32,3,6,1,0,3,3,1,0,13,0,0,0,0,0,0,1,.251,.320,.418,.738,3,9,R,L.Gil(71)
91,91,Jul 9,,OAK,W12-9,45,35,12,13,4,1,2,12,5,0,10,3,0,2,0,0,0,0,.252,.322,.422,.743,9,9,R,J.Estes(9)
92,92,Jul 10,,OAK,L2-5,38,35,2,8,1,0,1,2,3,0,12,0,0,0,1,0,1,0,.252,.321,.421,.742,9,12,L,J.Sears(63)
93,93,Jul 11,,OAK,W7-0,34,32,7,10,2,0,3,7,2,0,13,0,0,0,0,1,0,1,.253,.322,.423,.745,3,10,R,L.Medina(34)
94,94,Jul 12,,KCR,L1-6,33,31,1,5,2,0,0,1,2,0,10,0,0,0,0,1,0,0,.252,.321,.421,.742,5,11,L,C.Ragans(71)
95,95,Jul 13,,KCR,W5-0,35,34,5,12,3,0,1,5,1,0,10,0,0,0,0,1,0,1,.253,.321,.422,.743,6,9,R,S.Lugo(32)
96,96,Jul 14,,KCR,W5-4,38,36,5,14,3,0,2,5,2,0,8,0,0,0,0,1,0,1,.254,.322,.425,.747,9,12,R,B.Singer(28)
97,97,Jul 19,@,LAD,L1-4,34,34,1,9,2,0,1,1,0,0,9,0,0,0,0,1,1,0,.254,.322,.424,.746,6,11,R,G.Stone(54)
