Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
69,69,Jun 14,,MIA,W8-1,38,36,8,12,2,0,1,8,2,0,4,0,0,0,1,0,0,0,.233,.305,.356,.660,6,9,R,S.Anderson(17)
70,70,Jun 15,,MIA,W4-0,33,31,4,9,3,0,2,4,0,0,3,1,0,1,0,0,1,0,.234,.305,.359,.663,5,10,L,T.Rogers(60)
71,71,Jun 16,,MIA,W3-1,32,29,3,9,2,0,2,3,3,0,4,0,0,0,0,2,0,2,.235,.306,.361,.667,5,9,L,J.Luzardo(48)
72,72,Jun 18,,ARI,L0-5,29,29,0,4,1,0,0,0,0,0,8,0,0,0,0,1,0,1,.234,.304,.359,.663,2,9,R,S.Cecconi(72)
73,73,Jun 19,,ARI,W3-1,31,27,3,6,0,0,1,3,4,0,2,0,0,0,0,2,0,1,.234,.304,.359,.663,4,10,R,B.Pfaadt(47)
74,74,Jun 20,,ARI,L2-5,31,31,2,4,0,0,2,2,0,0,4,0,0,0,0,0,0,0,.232,.302,.358,.660,2,9,R,R.Nelson(65)
75,75,Jun 21,@,COL,W11-5,48,42,11,19,7,1,2,11,5,0,6,0,0,1,0,1,2,1,.236,.305,.366,.672,10,9,R,D.Hudson(3)
76,76,Jun 22,@,COL,L7-8,38,35,7,11,1,0,2,7,2,0,6,0,1,0,2,0,1,3,.237,.306,.368,.674,4,11,R,C.Quantrill(50)
77,77,Jun 23,@,COL,W2-1,32,31,2,4,1,0,0,2,1,0,7,0,0,0,0,0,1,0,.236,.304,.366,.670,3,11,L,K.Freeland(73)
78,78,Jun 24,@,SDP,L6-7,44,41,6,11,5,0,1,6,2,0,11,1,0,0,0,0,3,0,.236,.305,.367,.672,9,10,R,M.Waldron(60)
79,79,Jun 25,@,SDP,L7-9,38,35,7,9,2,1,1,7,2,0,1,0,0,1,1,0,0,0,.237,.304,.368,.673,4,11,R,A.Mazur(38)
