Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
23,23,Apr 24,,LAD,L2-11,9.0,20,11,11,0,3,6,1,0,4.46,49,184,123,1,0,0,0,46,8,0,0,0,0,0,1,5,Larry Vanover,J.Irvin (6-18-L) D.Law (0) D.Floro (2) T.Rainey (3) M.Barnes (0)
24,24,Apr 25,,LAD,L1-2,9.0,9,2,2,0,3,7,1,0,4.35,35,158,100,0,0,1,0,32,2,0,0,0,0,0,3,4,Brian Walsh,M.Gore (5-56-L) J.Barnes (1) J.Weems (1) K.Finnegan (4)
25,25,Apr 26,@,MIA,W3-1,9.0,6,1,1,0,2,8,0,0,4.22,33,127,81,0,0,1,0,31,0,0,0,0,0,0,0,4,Jeremie Rehak,T.Williams (5-52) D.Law (1-W) H.Harvey (2-H) K.Finnegan (0-Sv)
26,26,Apr 27,@,MIA,W11-4,9.0,13,4,4,0,2,4,1,0,4.21,40,153,103,0,0,1,0,38,1,1,0,0,0,0,2,5,Clint Vondrak,M.Parker (5-46) J.Barnes (1-W) D.Floro (2) M.Barnes (2) T.Rainey (2)
27,27,Apr 28,@,MIA,W12-9,9.0,12,9,6,3,5,8,1,0,4.28,43,178,107,1,0,0,0,38,3,2,0,0,0,0,1,5,Mark Wegner,P.Corbin (4-26) D.Law (1-W) J.Weems (2-H) H.Harvey (1-H) K.Finnegan (1-Sv)
28,28,Apr 29,@,MIA,W7-2,9.0,4,2,2,0,0,5,1,0,4.19,31,111,77,0,0,0,0,31,1,0,0,0,0,0,0,3,Tom Hanahan,J.Irvin (4-59-W) D.Floro (1) M.Barnes (1)
29,29,Apr 30,@,TEX,L1-7,8.0,10,7,7,0,2,10,2,1,4.31,39,153,95,0,0,1,0,36,1,1,0,0,0,1,0,4,Ryan Blakney,M.Gore (4-55-L) J.Weems (1) J.Barnes (2) T.Rainey (2)
30,30,May 1,@,TEX,W1-0,9.0,6,0,0,0,6,9,0,0,4.16,38,141,84,1,0,0,0,32,0,0,0,0,0,0,1,5,Edwin Jimenez,T.Williams (4-56-W) D.Law (2-H) D.Floro (1-H) H.Harvey (2-H) K.Finnegan (2-Sv)
31,31,May 2,@,TEX,L0-6,8.0,9,6,6,0,3,8,0,0,4.24,36,131,88,2,0,1,0,33,3,0,0,0,0,0,0,4,Jim Wolf,M.Parker (4-47-L) J.Barnes (1) J.Weems (1) M.Barnes (2)
32,32,May 3,,TOR,W9-3,9.0,7,3,3,0,2,6,0,0,4.20,37,131,90,0,0,1,0,33,4,1,0,1,1,1,0,4,Rob Drake,P.Corbin (4-49) J.Barnes (0-W) H.Harvey (1-H) D.Floro (1)
33,33,May 4,,TOR,L3-6,9.0,9,6,2,4,3,9,1,0,4.13,42,172,109,0,0,0,0,39,1,0,0,0,0,2,1,4,Jonathan Parra,J.Irvin (4-52-L) J.Weems (1) D.Law (2) T.Rainey (3)
34,34,May 5,,TOR,W11-8,9.0,10,8,3,5,6,6,1,0,4.10,44,179,110,4,2,3,0,37,2,0,0,0,1,2,1,7,John Libka,M.Gore (4-33) J.Barnes (1) J.Weems (0-H) D.Law (0-BSv) D.Floro (1) H.Harvey (1-W) K.Finnegan (3-Sv)
35,35,May 7,,BAL,W3-0,9.0,3,0,0,0,0,12,0,0,3.98,31,127,87,0,0,1,0,31,0,0,0,0,0,1,0,5,Alex Tosi,T.Williams (5-71-W) R.Garcia (16-H) D.Law (1-H) H.Harvey (1-H) K.Finnegan (1-Sv)
36,36,May 8,,BAL,L6-7,12.0,10,7,4,3,2,11,3,1,3.94,45,168,115,1,1,0,1,40,2,0,0,1,1,0,2,8,Dan Bellino,M.Parker (5-53) D.Law (0) R.Garcia (0) J.Barnes (2) D.Floro (2) K.Finnegan (0) H.Harvey (0) J.Weems (2-L)
37,37,May 10,@,BOS,W5-1,9.0,9,1,1,0,5,9,0,0,3.86,39,156,96,3,0,0,0,34,3,0,0,0,0,0,1,6,Chris Conroy,P.Corbin (6-52-W) D.Law (1-H) R.Garcia (1-H) H.Harvey (1-H) D.Floro (1-H) J.Barnes (1)
38,38,May 11,@,BOS,L2-4,8.0,6,4,4,0,1,7,1,0,3.88,32,121,87,0,0,1,0,31,2,0,1,0,0,1,0,2,Brennan Miller,J.Irvin (6-67) R.Garcia (0-L)
39,39,May 12,@,BOS,L2-3,8.0,7,3,2,1,2,11,0,0,3.84,34,133,88,0,0,1,0,32,3,0,0,0,0,1,0,3,Brian O'Nora,M.Gore (6-57-L) D.Law (1) D.Floro (1)
40,40,May 14(1),@,CHW,W6-3,9.0,8,3,1,2,2,4,1,0,3.77,35,147,89,0,0,0,0,32,1,0,0,0,1,1,3,5,Nestor Ceja,T.Williams (6-52) R.Garcia (2) D.Law (1-W) H.Harvey (3-H) K.Finnegan (5-Sv)
41,41,May 14(2),@,CHW,L0-4,8.0,7,4,4,0,3,5,2,0,3.78,31,117,71,3,0,2,1,28,1,0,0,0,0,0,2,4,Cory Blaser,M.Parker (5-46-L) J.Weems (5) J.Barnes (3) J.Rutledge (99)
42,42,May 15,@,CHW,L0-2,8.0,9,2,2,0,2,1,0,0,3.75,32,107,72,2,1,2,0,30,2,0,0,0,0,0,1,4,Manny Gonzalez,P.Corbin (4-47-L) D.Law (0) D.Floro (2) R.Garcia (0)
43,43,May 17,@,PHI,L2-4,8.0,5,4,4,0,1,4,0,2,3.77,32,131,82,0,0,0,0,29,2,0,0,0,0,0,0,3,John Tumpane,J.Irvin (5-42-L) J.Barnes (2) J.Weems (2)
44,44,May 18,@,PHI,L3-4,9.2,7,4,3,1,4,4,2,0,3.74,39,142,87,3,0,1,0,34,0,0,1,0,1,1,2,5,Marvin Hudson,M.Gore (5-59) D.Floro (2) R.Garcia (2) H.Harvey (3) K.Finnegan (3-BL)
45,45,May 19,@,PHI,L5-11,8.0,12,11,11,0,6,6,1,0,3.92,41,167,102,3,3,1,0,33,3,0,0,0,2,0,1,6,Nick Mahrley,T.Williams (4-43) J.Barnes (1-L) R.Garcia (0) J.Weems (1) D.Law (3) T.Rainey (14)
46,46,May 20,,MIN,W12-3,9.0,8,3,3,0,2,8,1,0,3.90,36,127,87,0,0,0,0,34,1,0,0,0,0,0,0,3,Ramon De Jesus,M.Parker (5-52-W) D.Law (0) D.Floro (1)
47,47,May 21,,MIN,L0-10,9.0,10,10,10,0,4,4,4,2,4.03,41,150,86,0,0,2,0,35,1,1,0,0,0,0,2,3,Adrian Johnson,P.Corbin (5-22-L) J.Barnes (1) T.Rainey (1)
48,48,May 22,,MIN,L2-3,9.0,7,3,3,0,0,9,2,1,4.01,35,126,87,2,0,1,0,34,1,0,0,0,0,0,0,3,Junior Valentine,J.Irvin (4-61-L) R.Garcia (2) H.Harvey (3)
49,49,May 24,,SEA,W6-1,9.0,5,1,1,0,1,10,1,0,3.94,33,120,81,0,0,2,0,32,0,0,0,0,0,0,0,3,Alex Tosi,M.Gore (5-72-W) H.Harvey (1) D.Floro (3)
50,50,May 25,,SEA,W3-1,9.0,5,1,1,0,0,12,1,1,3.88,33,145,97,1,0,0,0,32,1,0,0,0,0,0,0,5,Dan Bellino,T.Williams (5-61) R.Garcia (2) D.Floro (0-W) H.Harvey (0-H) K.Finnegan (6-Sv)
51,51,May 26,,SEA,L5-9,9.0,10,9,8,1,3,6,2,1,3.97,41,140,89,1,0,2,1,37,2,0,0,0,0,0,0,4,Tony Randazzo,P.Corbin (4-52) J.Barnes (4) D.Floro (0-BL) J.Weems (6)
52,52,May 27,@,ATL,W8-4,9.0,8,4,4,0,2,10,1,0,3.97,36,147,104,0,0,1,0,34,1,0,0,0,0,0,1,4,Lance Barksdale,M.Parker (6-57-W) D.Law (6) H.Harvey (1) K.Finnegan (1)
53,53,May 28,@,ATL,L0-2,8.0,5,2,2,0,3,12,1,0,3.94,30,132,85,0,0,0,0,26,1,0,0,0,1,0,1,3,Nic Lentz,J.Irvin (5-76) J.Barnes (1-L) D.Law (0)
54,54,May 29,@,ATL,W7-2,9.0,8,2,1,1,0,13,0,0,3.88,35,147,99,3,1,0,0,35,3,0,0,0,0,0,1,5,Will Little,M.Gore (4-60-W) D.Floro (2-H) R.Garcia (3-H) H.Harvey (1-H) J.Weems (2)
55,55,May 30,@,ATL,W3-1,9.0,5,1,1,0,3,8,0,0,3.83,35,144,90,1,0,1,0,31,2,1,0,0,1,0,0,5,Quinn Wolcott,T.Williams (4-59-W) D.Floro (0-H) R.Garcia (0-H) H.Harvey (0-H) K.Finnegan (2-Sv)
56,56,May 31,@,CLE,L1-7,8.0,9,7,7,0,6,5,1,0,3.89,38,138,84,3,3,1,0,31,1,0,1,1,0,0,0,4,Bill Miller,P.Corbin (4-54-L) J.Barnes (2) R.Garcia (0) J.Weems (1)
57,57,Jun 1,@,CLE,L2-3,8.0,5,3,3,0,5,7,0,1,3.89,35,137,88,3,0,1,0,29,1,0,0,0,0,0,0,3,Malachi Moore,M.Parker (4-50-L) D.Floro (1) D.Law (3)
58,58,Jun 2,@,CLE,W5-2,9.0,6,2,2,0,1,7,0,0,3.85,33,138,96,0,0,0,0,32,2,0,0,0,0,0,1,4,Dan Merzel,J.Irvin (4-59-W) R.Garcia (1-H) H.Harvey (2-H) K.Finnegan (2-Sv)
59,59,Jun 3,,NYM,L7-8,9.0,13,8,7,1,4,6,1,1,3.91,44,176,114,3,3,3,0,37,2,0,0,0,2,0,0,5,Carlos Torres,M.Gore (4-23-L) D.Floro (1) J.Barnes (2) J.Weems (2) T.Rainey (12)
60,60,Jun 4,,NYM,L3-6,9.0,13,6,6,0,2,6,2,0,3.94,40,141,93,2,2,1,0,37,2,1,0,0,1,0,2,4,Ryan Wills,D.Herz (99-33-L) D.Law (2) J.Barnes (0) K.Finnegan (1)
61,61,Jun 5,,NYM,L1-9,9.0,11,9,9,0,3,5,3,1,4.03,39,141,89,2,2,0,0,34,2,1,0,0,1,0,3,4,Chad Fairchild,P.Corbin (4-32-L) J.Weems (1) D.Floro (1) T.Rainey (1)
62,62,Jun 6,,ATL,L2-5,9.0,7,5,5,0,0,3,2,1,4.04,35,111,78,0,0,0,0,34,2,0,0,0,0,0,0,3,Adam Beck,M.Parker (4-65) H.Harvey (3-L) J.Barnes (1)
63,63,Jun 7,,ATL,W2-1,9.0,6,1,1,0,2,8,0,0,3.99,35,131,91,0,0,0,0,33,4,0,0,0,0,0,1,4,Tom Hanahan,J.Irvin (4-66-W) D.Law (2-H) H.Harvey (0-H) K.Finnegan (2-Sv)
64,64,Jun 8,,ATL,W7-3,9.0,7,3,2,1,1,13,1,1,3.96,35,146,99,2,1,0,0,33,2,0,0,0,0,0,1,4,Jansen Visconti,M.Gore (4-55-W) D.Law (0-H) D.Floro (2) R.Garcia (5)
65,65,Jun 9,,ATL,W8-5,9.0,8,5,5,0,5,8,1,0,3.98,40,158,94,3,0,0,0,35,0,0,0,0,0,0,0,6,Andy Fletcher,D.Herz (4-49) J.Barnes (2-W) R.Garcia (0) D.Floro (0) J.Weems (3) K.Finnegan (1-Sv)
66,66,Jun 11,@,DET,W5-4,10.0,6,4,0,4,4,11,0,0,3.91,41,168,101,2,0,2,0,37,1,1,0,0,0,1,0,5,Larry Vanover,M.Parker (4-46) D.Law (2) D.Floro (1) H.Harvey (3) K.Finnegan (1-W)
67,67,Jun 12,@,DET,W7-5,9.0,12,5,5,0,1,9,2,0,3.93,40,157,110,2,1,0,0,39,1,0,0,0,0,0,0,5,Chris Segal,J.Irvin (4-60-W) R.Garcia (2) D.Floro (0) H.Harvey (0-H) K.Finnegan (0-Sv)
68,68,Jun 13,@,DET,L2-7,8.0,10,7,7,0,3,6,1,2,3.98,37,155,97,2,1,1,0,31,2,0,0,0,1,0,2,5,Emil Jimenez,P.Corbin (7-58) D.Law (1-L) R.Garcia (0) J.Barnes (3) T.Rainey (7)
69,69,Jun 14,,MIA,W8-1,9.0,7,1,1,0,2,11,0,1,3.94,37,137,92,0,0,0,0,34,1,0,0,0,0,0,1,3,Alan Porter,M.Gore (5-72-W) J.Barnes (0) J.Weems (4)
70,70,Jun 15,,MIA,W4-0,9.0,4,0,0,0,1,17,0,0,3.88,32,131,91,0,0,0,0,31,0,1,0,0,0,0,0,4,Ryan Blakney,D.Herz (5-83-W) D.Floro (2-H) H.Harvey (2-H) K.Finnegan (2)
