Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
23,23,Apr 20,,NYM,L4-6,9.0,8,6,5,1,7,4,1,2,4.30,44,163,89,5,3,3,0,34,3,0,0,1,0,1,1,8,Lance Barksdale,G.Stone (6-40) M.Grove (2) R.Yarbrough (3-L) R.Brasier (0) J.Kelly (0) A.Vesia (2) E.Phillips (6) N.Ramirez (4)
24,24,Apr 21,,NYM,W10-0,9.0,7,0,0,0,0,10,0,0,4.12,32,108,76,0,0,0,2,32,0,0,0,0,0,0,0,2,Angel Hernandez,T.Glasnow (5-78-W) N.Ramirez (0)
25,25,Apr 23,@,WSN,W4-1,9.0,7,1,1,0,8,5,0,0,4.00,39,182,103,3,0,1,2,31,1,0,0,0,0,0,0,5,David Rackley,J.Paxton (8-48) M.Grove (2) A.Vesia (2-W) D.Hudson (3-H) E.Phillips (2-Sv)
26,26,Apr 24,@,WSN,W11-2,9.0,3,2,2,0,3,7,1,1,3.92,34,126,83,0,0,0,0,30,0,0,0,0,0,0,0,3,Larry Vanover,L.Knack (6-60-W) R.Brasier (3) R.Yarbrough (3)
27,27,Apr 25,@,WSN,W2-1,9.0,7,1,1,0,1,13,0,0,3.81,35,144,104,0,0,1,0,34,2,0,0,0,0,0,0,4,Brian Walsh,Y.Yamamoto (5-70-W) A.Vesia (1-H) D.Hudson (1-H) E.Phillips (1-Sv)
28,28,Apr 26,@,TOR,W12-2,9.0,5,2,2,0,4,3,1,0,3.75,36,122,76,0,0,0,0,32,1,0,0,0,0,0,0,2,Hunter Wendelstedt,G.Stone (5-69-W) N.Ramirez (4)
29,29,Apr 27,@,TOR,W4-2,9.0,4,2,1,1,3,15,0,0,3.66,35,143,92,1,0,0,0,31,2,0,0,0,0,0,0,4,John Tumpane,T.Glasnow (5-70-W) J.Kelly (6-H) R.Brasier (2-H) E.Phillips (1-Sv)
30,30,Apr 28,@,TOR,L1-3,8.0,8,3,3,0,1,6,1,1,3.65,31,116,77,0,0,0,0,29,1,0,0,0,0,0,2,4,Nick Mahrley,M.Grove (4-39-L) A.Vesia (2) R.Yarbrough (3) N.Crismatt (27)
31,31,Apr 29,@,ARI,W8-4,9.0,7,4,4,0,6,6,0,0,3.66,39,150,88,0,0,0,0,31,2,0,0,0,2,0,1,5,Quinn Wolcott,J.Paxton (5-38-W) D.Hudson (3-H) J.Kelly (1-H) A.Vesia (0) E.Phillips (1)
32,32,Apr 30,@,ARI,L3-4,9.0,10,4,3,1,2,5,2,1,3.64,40,133,89,1,0,1,0,36,3,0,0,1,0,0,0,5,Junior Valentine,L.Knack (5-56) M.Grove (1-H) J.Kelly (0-H) D.Hudson (0-BSv) N.Crismatt (1-L)
33,33,May 1,@,ARI,W8-0,9.0,7,0,0,0,5,7,0,0,3.53,37,155,101,1,0,0,0,32,1,0,0,0,0,0,2,3,Ramon De Jesus,Y.Yamamoto (5-65-W) J.Feyereisen (16) G.Varland (23)
34,34,May 3,,ATL,W4-3,11.0,6,3,2,1,1,8,2,0,3.46,39,164,110,0,0,0,0,37,0,0,0,0,1,0,0,6,Nestor Ceja,G.Stone (6-62) J.Kelly (2-H) D.Hudson (2-BSv) E.Phillips (3) A.Vesia (3) M.Grove (2-W)
35,35,May 4,,ATL,W11-2,9.0,6,2,2,0,2,12,0,0,3.42,35,131,81,0,0,1,0,33,3,0,0,0,0,0,0,3,Todd Tichenor,T.Glasnow (6-68-W) G.Varland (2) J.Feyereisen (2)
36,36,May 5,,ATL,W5-1,9.0,5,1,1,0,2,7,1,0,3.35,32,112,75,1,0,0,0,30,0,0,0,0,0,0,1,4,Cory Blaser,J.Paxton (5-61-W) J.Kelly (1-H) B.Treinen (99-H) M.Grove (1)
