Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
42,P,Tyler Anderson*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,anderty01
43,P,Zach Plesac,29,0,0,,,,,,,,,,,,,,,,,,,,,,,plesaza01
44,P,José Suarez*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,suarejo01
45,P,Roansy Contreras,24,0,0,,,,,,,,,,,,,,,,,,,,,,,contrro01
46,P,Patrick Sandoval*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,sandopa02
47,P,Brock Burke*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,burkebr01
48,P,José Quijada*,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,quijajo01
49,P,José Marte,28,0,0,,,,,,,,,,,,,,,,,,,,,,,martejo01
50,P,Guillo Zuñiga,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,zuniggu01
51,P,Carson Fulmer,30,0,0,,,,,,,,,,,,,,,,,,,,,,,fulmeca01
52,P,Reid Detmers*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,detmere01
53,P,Chase Silseth,24,0,0,,,,,,,,,,,,,,,,,,,,,,,silsech01
54,P,Ryan Miller,28,0,0,,,,,,,,,,,,,,,,,,,,,,,millery01
55,P,Amir Garrett,32,0,0,,,,,,,,,,,,,,,,,,,,,,,garream01
56,P,Hunter Strickland,35,0,0,,,,,,,,,,,,,,,,,,,,,,,strichu01
57,P,Ben Joyce,23,0,0,,,,,,,,,,,,,,,,,,,,,,,joycebe01
58,P,Matt Moore*,35,0,0,,,,,,,,,,,,,,,,,,,,,,,moorema02
59,P,José Cisnero,35,0,0,,,,,,,,,,,,,,,,,,,,,,,cisnejo01
60,P,Kenny Rosenberg*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,rosenke01
61,P,Mike Baumann,28,0,0,,,,,,,,,,,,,,,,,,,,,,,baumami01
62,P,Adam Cimber,33,0,0,,,,,,,,,,,,,,,,,,,,,,,cimbead01
63,P,Ryan Zeferjahn,26,0,0,,,,,,,,,,,,,,,,,,,,,,,zeferry01
64,P,Andrew Wantz,28,0,0,,,,,,,,,,,,,,,,,,,,,,,wantzan01
,,Team Totals,27.3,162,5975,5357,635,1227,227,15,165,596,133,50,482,1416,.229,.301,.369,.671,90,1979,116,86,12,35,4,-9999
,,Rank in 15 AL teams,,,,13,13,13,13,11,11,,6,14,9,10,13,12,13,13,,13,,4,,11,,-9999
