Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
96,96,Jul 13,@,ARI,L1-12,35,29,1,5,1,1,0,1,4,0,5,1,0,1,0,1,0,0,.234,.310,.372,.682,7,10,R,Y.Diaz(60)
97,97,Jul 14,@,ARI,W8-7,41,40,8,14,3,1,2,7,1,0,7,0,0,0,1,2,0,0,.236,.310,.376,.686,6,9,R,Z.Gallen(17)
98,98,Jul 19,,DET,L4-5,35,34,4,7,0,0,2,4,1,0,9,0,0,0,0,0,1,0,.235,.309,.376,.685,4,12,R,J.Flaherty(62)
99,99,Jul 20,,DET,L3-7,32,30,3,6,1,0,1,3,2,0,7,0,0,0,0,2,0,1,.235,.309,.375,.684,2,10,R,R.Olson(52)
100,100,Jul 21,,DET,W5-4,36,34,5,11,2,0,2,5,2,0,9,0,0,0,0,1,1,0,.236,.309,.377,.686,7,10,R,K.Montero(35)
101,101,Jul 23,,TBR,L2-4,34,33,2,6,0,0,2,2,1,0,10,0,0,0,0,0,0,0,.235,.308,.377,.685,5,9,R,S.Armstrong(57)
102,102,Jul 24,,TBR,W6-3,34,32,6,8,1,0,1,4,2,1,5,0,0,0,1,1,1,0,.235,.308,.377,.685,4,9,R,Z.Eflin(53)
103,103,Jul 25,,TBR,L0-13,32,29,0,2,1,0,0,0,3,0,10,0,0,0,0,0,0,0,.234,.307,.375,.682,5,12,R,T.Bradley(74)
104,104,Jul 26,,TEX,W6-5,42,36,6,12,5,0,0,6,4,2,7,1,0,1,0,0,1,0,.235,.308,.376,.684,10,11,L,A.Heaney(40)
105,105,Jul 27,,TEX,W7-3,42,36,7,15,5,0,1,7,4,0,5,0,0,2,0,0,3,0,.237,.310,.378,.688,11,11,R,M.Lorenzen(25)
106,106,Jul 28,,TEX,W7-3,35,30,7,9,2,0,2,7,2,0,1,0,1,2,0,0,0,0,.237,.310,.380,.690,4,10,R,J.Hernández(26)
107,107,Jul 29 (1),@,BAL,L5-11,40,40,5,13,1,0,2,5,0,0,11,0,0,0,0,0,0,0,.238,.310,.381,.691,8,11,R,Z.Eflin(47)
108,108,Jul 29 (2),@,BAL,W8-4,49,41,8,13,5,0,1,8,7,1,8,0,0,1,2,0,3,0,.239,.311,.383,.694,14,10,L,C.Povich(27)
109,109,Jul 30,@,BAL,L2-6,36,30,2,5,1,0,0,2,3,0,10,2,0,1,0,1,1,0,.239,.311,.381,.692,7,10,R,C.Burnes(62)
110,110,Jul 31,@,BAL,L4-10,39,35,4,7,3,0,1,3,4,0,11,0,0,0,2,1,0,0,.238,.311,.381,.692,8,12,R,G.Rodriguez(51)
111,111,Aug 2,@,NYY,W8-5,43,38,8,13,3,1,0,8,3,0,10,2,0,0,0,0,0,0,.239,.312,.382,.694,8,10,R,M.Stroman(16)
112,112,Aug 3,@,NYY,L3-8,37,34,3,8,1,0,1,3,3,0,13,0,0,0,0,1,0,0,.239,.312,.382,.693,7,11,L,C.Rodón(56)
113,113,Aug 4,@,NYY,L3-4,42,36,3,7,3,0,0,3,3,0,9,2,0,1,1,0,2,1,.239,.311,.381,.692,10,11,R,G.Cole(53)
114,114,Aug 6,,BAL,W5-2,35,31,5,9,2,0,1,5,3,1,10,1,0,0,0,2,2,0,.239,.312,.381,.693,6,9,R,A.Suárez(67)
115,115,Aug 7,,BAL,L3-7,38,35,3,10,3,0,0,2,2,0,6,0,0,1,1,1,0,1,.240,.312,.381,.693,8,10,L,T.Rogers(43)
116,116,Aug 8,,BAL,W7-6,37,32,7,7,2,1,1,6,5,0,11,0,0,0,1,0,0,0,.240,.312,.382,.694,6,9,R,D.Kremer(36)
117,117,Aug 9,,OAK,W3-1,34,33,3,10,1,0,2,3,0,0,4,1,0,0,0,0,0,0,.240,.312,.383,.695,7,9,R,M.Spence(47)
118,118,Aug 10,,OAK,L0-1,31,27,0,2,0,0,0,0,2,0,9,2,0,0,0,2,0,0,.239,.311,.381,.692,4,11,R,O.Bido(72)
119,119,Aug 11,,OAK,L4-8,33,29,4,5,1,0,1,4,3,0,5,1,0,0,0,3,0,0,.239,.311,.380,.691,2,9,L,J.Sears(60)
120,120,Aug 12,@,LAA,W4-2,40,35,4,9,3,0,1,4,5,0,8,0,0,0,0,0,0,1,.239,.311,.381,.692,9,9,R,D.Daniel(38)
121,121,Aug 13,@,LAA,W6-1,39,35,6,7,3,0,2,6,4,0,8,0,0,0,0,0,1,0,.238,.311,.381,.692,6,10,R,C.Fulmer(30)
122,122,Aug 14,@,LAA,W9-2,41,33,9,8,2,1,3,9,6,0,13,1,0,1,0,1,0,0,.238,.312,.384,.695,5,9,L,T.Anderson(33)
123,123,Aug 16,@,CHC,L5-6,41,41,5,10,0,1,1,4,0,0,11,0,0,0,0,0,0,0,.238,.311,.383,.694,7,9,R,K.Hendricks(53)
124,124,Aug 17,@,CHC,L2-3,39,34,2,7,1,0,1,2,5,0,10,0,0,0,1,0,0,1,.238,.311,.383,.694,10,13,L,J.Steele(58)
125,125,Aug 18,@,CHC,W1-0,38,35,1,8,0,0,1,1,3,0,9,0,0,0,0,0,0,0,.238,.311,.382,.693,10,11,L,S.Imanaga(60)
126,126,Aug 19,,CIN,L3-6,37,33,3,6,2,0,2,3,3,0,7,1,0,0,0,0,0,0,.238,.310,.383,.693,7,10,R,J.Aguiar(47)
127,127,Aug 20,,CIN,W10-3,39,36,10,13,1,2,5,9,2,0,4,1,0,0,1,1,0,0,.239,.311,.387,.698,5,11,R,C.Spiers(0)
128,128,Aug 21,,CIN,L7-11,43,36,7,10,4,0,3,7,6,0,8,1,0,0,0,2,0,0,.239,.312,.389,.701,9,11,R,N.Martinez(27)
129,129,Aug 22,,LAA,W5-3,33,32,5,8,4,1,1,5,1,1,7,0,0,0,0,0,0,0,.239,.312,.390,.702,4,9,L,B.Burke(36)
130,130,Aug 23,,LAA,W5-4,35,34,5,10,2,0,2,5,1,0,3,0,0,0,1,1,0,0,.240,.312,.391,.703,6,10,R,J.Kochanowicz(47)
131,131,Aug 24,,LAA,W3-1,33,31,3,8,3,0,1,3,2,1,11,0,0,0,0,0,0,0,.240,.312,.392,.704,6,9,R,C.Fulmer(56)
132,132,Aug 25,,LAA,W8-2,40,31,8,7,1,0,2,8,8,2,7,1,0,0,0,0,0,0,.240,.312,.392,.705,8,11,L,T.Anderson(50)
133,133,Aug 26,@,BOS,W7-3,44,39,7,9,2,0,1,6,4,0,7,1,0,0,3,0,1,0,.240,.312,.392,.704,10,11,R,Z.Kelly(61)
134,134,Aug 27,@,BOS,L3-6,39,33,3,11,3,0,2,3,3,0,2,2,0,1,0,1,0,0,.240,.313,.394,.707,9,9,R,C.Criswell(43)
135,135,Aug 28,@,BOS,L0-3,29,28,0,2,1,0,0,0,1,0,10,0,0,0,0,1,0,0,.239,.312,.392,.704,2,9,R,B.Bello(86)
136,136,Aug 29,@,BOS,W2-0,36,33,2,7,5,0,0,2,3,0,5,0,0,0,0,0,2,0,.239,.312,.392,.703,7,10,R,K.Crawford(55)
137,137,Aug 30,@,MIN,L0-2,31,31,0,7,0,0,0,0,0,0,4,0,0,0,0,2,0,0,.239,.311,.390,.702,4,9,R,P.López(70)
138,138,Aug 31,@,MIN,W15-0,53,48,15,23,4,1,4,15,4,0,9,1,0,0,0,2,0,0,.241,.313,.395,.709,11,12,R,Z.Matthews(5)
139,139,Sep 1,@,MIN,L3-4,38,31,3,3,0,0,1,3,5,0,9,2,0,0,1,0,1,0,.240,.313,.394,.707,8,10,R,B.Ober(71)
140,140,Sep 3,,PHI,L9-10,44,42,9,16,2,0,4,9,2,0,8,0,0,0,0,1,0,0,.242,.314,.397,.711,8,10,R,T.Phillips(13)
141,141,Sep 4,,PHI,L2-4,34,33,2,6,5,0,0,2,1,0,10,0,0,0,0,0,0,0,.241,.313,.396,.710,5,11,L,C.Sánchez(64)
